net,length_um
wrapper_inst.digital_domain_inst.raw_edge1_x\[7\],254.54µm
net1491,254.44µm
_05494_,254.34µm
_05726_,254.29µm
net518,253.73µm
net709,253.27µm
wrapper_inst.digital_domain_inst.cfg_phase90_offset_y\[20\],253.22µm
net1919,253.22µm
wrapper_inst.digital_domain_inst.cfg_phase0_offset_x\[19\],253.17µm
wrapper_inst.digital_domain_inst.cfg_phase0_offset_y\[20\],252.71µm
net2530,252.36µm
_05791_,252.15µm
net1963,252.15µm
net1705,252.1µm
wrapper_inst.digital_domain_inst.cfg_phase0_offset_x\[15\],252µm
wrapper_inst.digital_domain_inst.cfg_phase90_offset_y\[2\],251.84µm
wrapper_inst.digital_domain_inst.raw_edge2_y\[11\],251.64µm
_03520_,251.4µm
wrapper_inst.digital_domain_inst.raw_edge3_x\[14\],251.03µm
net798,250.93µm
wrapper_inst.digital_domain_inst.cfg_phase90_offset_x\[18\],250.42µm
net1968,250.42µm
net1144,250.37µm
net1500,249.96µm
wrapper_inst.digital_domain_inst.signal_processor_x_inst.votes_out_phase\[2\],249.86µm
net573,249.86µm
clknet_leaf_44_clk,249.4µm
net1724,249.35µm
wrapper_inst.digital_domain_inst.signal_processor_y_inst.votes_out_phase\[1\],249.3µm
_01055_,248.79µm
wrapper_inst.digital_domain_inst.cfg_phase270_offset_x\[16\],248.79µm
_00796_,248.74µm
net1941,248.58µm
wrapper_inst.digital_domain_inst.cfg_phase270_offset_y\[16\],248.28µm
net1304,248.28µm
wrapper_inst.digital_domain_inst.cfg_phase270_offset_y\[9\],248.13µm
wrapper_inst.digital_domain_inst.cfg_phase0_offset_y\[13\],247.72µm
net619,247.21µm
net1481,247.11µm
wrapper_inst.digital_domain_inst.cfg_phase90_offset_x\[17\],247.01µm
net531,247.01µm
net811,246.55µm
net512,245.94µm
wrapper_inst.digital_domain_inst.cfg_phase90_offset_x\[19\],245.89µm
net2081,245.89µm
_03571_,245.84µm
net2150,245.84µm
net1018,245.67µm
clknet_leaf_40_clk,245.17µm
net694,244.21µm
wrapper_inst.digital_domain_inst.cfg_phase0_offset_y\[7\],243.75µm
wrapper_inst.digital_domain_inst.cfg_phase270_offset_x\[3\],243.75µm
net539,243.65µm
wrapper_inst.digital_domain_inst.raw_edge3_x\[7\],242.68µm
_05798_,241.97µm
wrapper_inst.digital_domain_inst.cfg_phase270_offset_x\[12\],241.97µm
net605,241.97µm
net720,241.51µm
net583,241.41µm
net767,240.95µm
clknet_leaf_54_clk,240.39µm
_05363_,240.29µm
net20,239.83µm
wrapper_inst.digital_domain_inst.cal_dir_y,239.78µm
_05497_,239.73µm
_05678_,239.17µm
_04471_,238.81µm
wrapper_inst.digital_domain_inst.cfg_phase270_offset_x\[9\],238.76µm
wrapper_inst.digital_domain_inst.cfg_phase0_offset_x\[13\],238.66µm
net1142,238.66µm
wrapper_inst.digital_domain_inst.wave_controller_y_inst.comp_sync1,238µm
_03565_,237.68µm
_05842_,237.49µm
net1136,237.49µm
net1140,237.3µm
net2148,237.08µm
net2124,236.93µm
wrapper_inst.digital_domain_inst.cfg_phase90_offset_y\[15\],235.86µm
net517,235.35µm
wrapper_inst.digital_domain_inst.spi_regs_inst.sclk_sync\[1\],235.25µm
net545,235.25µm
_03451_,235.2µm
net2047,235.2µm
net102,234.69µm
_05314_,234.08µm
net104,233.62µm
net2039,233.57µm
net1990,233.01µm
net820,232.5µm
net1256,232.09µm
wrapper_inst.digital_domain_inst.cfg_phase90_offset_y\[4\],232.04µm
net3,231.84µm
wrapper_inst.digital_domain_inst.cfg_phase270_offset_y\[17\],231.53µm
_00029_,231.38µm
net553,230.87µm
net1572,230.77µm
net2085,230.72µm
wrapper_inst.digital_domain_inst.cfg_phase0_offset_y\[12\],230.31µm
net1571,230.31µm
clknet_leaf_37_clk,229.85µm
wrapper_inst.digital_domain_inst.raw_edge2_x\[1\],229.75µm
wrapper_inst.digital_domain_inst.cfg_phase0_offset_y\[17\],229.29µm
net1239,229.14µm
wrapper_inst.digital_domain_inst.cfg_phase0_offset_x\[20\],228.63µm
net1005,228.07µm
net2099,228.07µm
_05717_,227.97µm
_06000_,227.97µm
wrapper_inst.digital_domain_inst.raw_edge1_y\[1\],227.97µm
wrapper_inst.digital_domain_inst.raw_edge3_x\[10\],227.51µm
net2092,227.41µm
wrapper_inst.digital_domain_inst.cfg_phase90_offset_x\[0\],226.95µm
net2358,226.85µm
wrapper_inst.digital_domain_inst.cfg_phase270_offset_y\[10\],226.8µm
wrapper_inst.digital_domain_inst.cfg_phase270_offset_x\[19\],226.44µm
wrapper_inst.digital_domain_inst.cfg_phase90_offset_x\[16\],226.34µm
_05892_,226.29µm
wrapper_inst.digital_domain_inst.cfg_phase90_offset_x\[2\],226.29µm
net707,225.78µm
net711,225.78µm
_05834_,225.73µm
wrapper_inst.digital_domain_inst.raw_edge3_x\[12\],225.32µm
clknet_4_5_0_clk,225.27µm
net753,225.22µm
net1989,225.17µm
net544,225.12µm
wrapper_inst.digital_domain_inst.raw_edge3_x\[17\],224.76µm
net576,224.71µm
_03450_,224.66µm
net2108,224.56µm
wrapper_inst.digital_domain_inst.cfg_phase0_offset_y\[2\],223.54µm
wrapper_inst.digital_domain_inst.cfg_phase90_offset_y\[16\],223.54µm
wrapper_inst.digital_domain_inst.cfg_phase0_offset_y\[18\],223.18µm
net1279,223.03µm
wrapper_inst.digital_domain_inst.raw_edge3_x\[15\],222.47µm
net195,222.37µm
net1152,222.11µm
_05793_,221.91µm
net751,221.91µm
net1492,221.35µm
_05450_,221.25µm
net614,221.25µm
net441,220.84µm
net1738,220.695µm
net42,220.69µm
net2181,220.18µm
net2007,220.13µm
_05313_,219.67µm
net1255,219.62µm
net1536,219.52µm
wrapper_inst.digital_domain_inst.raw_edge3_x\[9\],219.21µm
net2094,218.96µm
net2291,218.6µm
net1505,218.5µm
net1508,218.5µm
net1917,218.4µm
clknet_leaf_61_clk,218.19µm
_00800_,217.53µm
net1122,217.38µm
net546,217.33µm
net1971,216.87µm
_05042_,216.82µm
wrapper_inst.digital_domain_inst.cfg_phase0_offset_x\[16\],216.82µm
wrapper_inst.digital_domain_inst.jitter_flag_y,216.82µm
net83,216.77µm
net789,216.77µm
net1488,216.41µm
net1969,216.31µm
_00577_,215.75µm
net1746,215.42µm
net2036,215.37µm
wrapper_inst.digital_domain_inst.cfg_phase270_offset_x\[0\],214.78µm
_00759_,214.63µm
net2169,214.63µm
net60,213.92µm
_00829_,213.51µm
clknet_leaf_64_clk,213.51µm
net942,213.36µm
_00615_,212.95µm
net1953,212.9µm
net1115,212.83µm
clknet_leaf_60_clk,212.44µm
net739,212.34µm
net1100,212.34µm
_05443_,211.78µm
wrapper_inst.digital_domain_inst.signal_processor_x_inst.votes_in_phase\[1\],211.78µm
_05192_,211.73µm
_03591_,211.68µm
wrapper_inst.digital_domain_inst.delay_wave_cycle_x\[5\],211.22µm
net805,211.22µm
net2139,210.71µm
net16,210.56µm
_00679_,210.1µm
clknet_leaf_9_clk,210.1µm
clknet_leaf_21_clk,209.89µm
net2127,209.82µm
net2143,209.59µm
_05320_,209.54µm
net1113,209.54µm
net1406,209.49µm
_01737_,209.03µm
net1694,208.52µm
net2023,208.37µm
net337,207.81µm
net1020,207.76µm
net1117,207.76µm
clknet_leaf_8_clk,207.45µm
net19,206.69µm
_03586_,206.64µm
_02269_,206.46µm
clknet_leaf_27_clk,206.43µm
_03537_,206.02µm
net693,205.01µm
_03580_,204.6µm
wrapper_inst.digital_domain_inst.cfg_phase90_offset_y\[9\],204.55µm
_00675_,204.5µm
wrapper_inst.digital_domain_inst.cfg_phase90_offset_x\[4\],204.04µm
net569,204.04µm
wrapper_inst.digital_domain_inst.cfg_phase270_offset_x\[1\],203.53µm
net528,203.52µm
net1145,203.33µm
net803,202.87µm
net995,202.87µm
_00764_,202.82µm
net724,202.77µm
_02019_,202.21µm
net722,202.21µm
_04483_,202.16µm
clknet_4_1_0_clk,201.9µm
wrapper_inst.digital_domain_inst.raw_edge3_x\[11\],201.85µm
net1151,201.7µm
net2008,201.65µm
_03579_,201.14µm
clknet_leaf_36_clk,200.83µm
net375,200.78µm
net24,200.58µm
net1329,200.53µm
clknet_leaf_33_clk,200.53µm
net2071,200.48µm
clknet_leaf_62_clk,200.12µm
net2165,200.07µm
net426,199.92µm
clknet_leaf_30_clk,199.86µm
_03442_,199.61µm
clknet_4_4_0_clk,199.51µm
net368,199.46µm
net1009,198.9µm
wrapper_inst.digital_domain_inst.raw_edge2_x\[20\],198.44µm
_03481_,198.39µm
wrapper_inst.digital_domain_inst.cfg_phase90_offset_x\[3\],198.29µm
net1087,198.29µm
clknet_leaf_39_clk,197.32µm
net2552,197.22µm
net1688,197.17µm
_04420_,196.79µm
_03709_,196.76µm
net2102,196.66µm
net178,196.61µm
net970,196.61µm
net2070,196.56µm
wrapper_inst.digital_domain_inst.raw_edge2_x\[16\],196.48µm
_05945_,196.05µm
_00805_,195.64µm
net735,195.59µm
wrapper_inst.digital_domain_inst.signal_processor_x_inst.votes_in_phase\[0\],195.49µm
net434,195.49µm
net935,195.49µm
net2015,195.49µm
net937,195.44µm
wrapper_inst.digital_domain_inst.raw_edge2_y\[12\],195.13µm
net1054,194.98µm
net1127,194.98µm
net2041,194.98µm
net1926,194.93µm
net2119,194.93µm
net899,194.88µm
wrapper_inst.digital_domain_inst.cfg_phase270_offset_x\[6\],194.57µm
net132,194.47µm
_01064_,194.42µm
net1598,194.37µm
_05562_,194.32µm
net1149,193.91µm
_00915_,193.86µm
net352,193.86µm
net2359,193.86µm
_00802_,193.81µm
net1372,193.81µm
net1280,193.76µm
net2059,193.75µm
net386,193.3µm
_05349_,193.25µm
_02010_,193.2µm
net1549,193.2µm
clknet_leaf_50_clk,192.79µm
_04216_,192.74µm
_00723_,192.69µm
net603,192.69µm
net2728,192.31µm
net901,192.28µm
net1219,192.13µm
net2060,191.62µm
net1326,191.52µm
clknet_leaf_53_clk,191.21µm
net1371,191.11µm
net1826,191.06µm
net2005,191.06µm
