net,length_um
digital_domain_inst.cfg_phase270_offset_y\[10\],262.08µm
digital_domain_inst.spi_regs_inst.sclk_sync\[0\],261.62µm
digital_domain_inst.cfg_phase90_offset_y\[3\],261.44µm
_00704_,261.31µm
_00574_,261.16µm
digital_domain_inst.cfg_phase90_offset_y\[1\],261.11µm
digital_domain_inst.raw_edge3_y\[14\],261.06µm
clknet_leaf_37_clk_regs,260.65µm
digital_domain_inst.cfg_f_MEMS_fcw_x\[2\],259.94µm
net1520,259.94µm
net1768,259.89µm
net1275,258.92µm
net1903,257.65µm
clknet_leaf_26_clk_regs,257.54µm
_00576_,257.29µm
digital_domain_inst.wave_controller_y_inst.phase_acc\[12\],257.19µm
net250,257.09µm
_01320_,256.63µm
_05033_,256.58µm
net1330,256.53µm
net672,256.02µm
digital_domain_inst.wave_controller_x_inst.phase_acc\[6\],255.97µm
digital_domain_inst.cfg_phase90_offset_y\[18\],254.95µm
_01533_,253.83µm
net588,253.73µm
_05341_,253.68µm
net1825,253.22µm
digital_domain_inst.raw_edge2_y\[11\],253.17µm
digital_domain_inst.cal_phase0_offset_x\[0\],252.66µm
_02472_,252.56µm
net1503,252.05µm
digital_domain_inst.cfg_phase90_offset_x\[16\],251.54µm
digital_domain_inst.raw_edge2_y\[12\],251.49µm
clknet_leaf_31_clk_regs,251.49µm
digital_domain_inst.raw_edge3_y\[8\],250.52µm
_00773_,249.96µm
digital_domain_inst.cfg_phase270_offset_y\[7\],249.35µm
_00591_,249.25µm
digital_domain_inst.cfg_phase270_offset_x\[4\],248.79µm
digital_domain_inst.cfg_phase0_offset_x\[18\],248.25µm
net1453,248.23µm
digital_domain_inst.signal_processor_x_inst.votes_in_phase\[1\],248.18µm
digital_domain_inst.phase_state_x\[0\],248.08µm
net486,247.72µm
digital_domain_inst.cfg_f_MEMS_fcw_x\[9\],247.62µm
net1272,247.01µm
net140,246.96µm
clknet_leaf_13_clk_regs,246.65µm
digital_domain_inst.cfg_phase0_offset_x\[12\],246.6µm
digital_domain_inst.raw_edge3_x\[17\],246.4µm
_01537_,245.89µm
net121,245.53µm
net964,245.38µm
net244,245.28µm
net1447,244.87µm
net912,244.77µm
net965,244.36µm
clknet_leaf_21_clk_regs,244.31µm
net1513,243.7µm
net1546,243.19µm
net1819,243.19µm
digital_domain_inst.cfg_phase270_offset_y\[14\],242.63µm
_00669_,242.07µm
_00671_,241.36µm
net1264,240.95µm
clknet_leaf_28_clk_regs,240.95µm
_03721_,240.8µm
net1521,240.79µm
digital_domain_inst.cfg_phase90_offset_x\[3\],240.44µm
net1449,240.44µm
net1099,240.39µm
net607,240.24µm
net1312,239.78µm
net1820,239.78µm
digital_domain_inst.raw_edge1_y\[1\],238.66µm
net1517,238.25µm
net1724,238.19µm
_02274_,238.1µm
_00751_,237.82µm
_01483_,237.59µm
digital_domain_inst.cfg_phase90_offset_x\[15\],237.59µm
_04326_,236.98µm
net238,236.37µm
_04185_,236.32µm
net364,236.25µm
digital_domain_inst.raw_edge3_x\[10\],235.4µm
net1388,235.3µm
net1907,235.3µm
net935,235.2µm
_01529_,234.84µm
net921,234.38µm
_00665_,234.23µm
net1519,234.13µm
digital_domain_inst.raw_edge2_y\[2\],233.67µm
net934,233.52µm
clknet_leaf_24_clk_regs,233.26µm
net594,233.11µm
clknet_leaf_19_clk_regs,233.11µm
digital_domain_inst.cfg_phase270_offset_x\[8\],232.6µm
net197,232.4µm
digital_domain_inst.cfg_phase90_offset_y\[15\],232.04µm
digital_domain_inst.cfg_phase0_offset_y\[17\],231.94µm
_02343_,231.89µm
digital_domain_inst.cal_phase0_offset_x\[1\],231.43µm
net1274,230.97µm
net1863,230.72µm
_00573_,230.31µm
digital_domain_inst.cfg_phase270_offset_x\[15\],230.31µm
net22,230.26µm
net1751,230.26µm
_03575_,229.7µm
net1881,229.7µm
digital_domain_inst.signal_processor_x_inst.votes_in_phase\[0\],229.65µm
clknet_leaf_47_clk_regs,229.49µm
digital_domain_inst.wave_controller_x_inst.phase_acc\[5\],229.37µm
clknet_leaf_36_clk_regs,229.24µm
digital_domain_inst.cfg_phase0_offset_x\[20\],229.09µm
_03520_,228.58µm
digital_domain_inst.raw_edge3_y\[7\],228.58µm
_00667_,228.07µm
digital_domain_inst.cfg_phase270_offset_x\[7\],228.02µm
digital_domain_inst.cfg_phase90_offset_x\[19\],227.61µm
_04138_,227.46µm
net614,227.41µm
net848,227.41µm
net1265,227.41µm
clknet_leaf_7_clk_regs,226.39µm
digital_domain_inst.cfg_phase90_offset_x\[9\],225.78µm
net371,225.12µm
_02479_,224.56µm
_03795_,224.56µm
_04141_,224.56µm
net1829,224.56µm
_00781_,224µm
net1496,224µm
_02388_,223.54µm
net798,222.93µm
net1442,222.93µm
net846,222.47µm
net736,222.42µm
digital_domain_inst.raw_edge2_x\[20\],222.32µm
digital_domain_inst.raw_edge2_y\[7\],222.32µm
net1632,221.45µm
net1408,221.2µm
net1827,221.2µm
net1075,220.84µm
digital_domain_inst.cfg_phase0_offset_x\[16\],220.69µm
analog_readout_input,220.6µm
net938,220.18µm
net281,220.13µm
clknet_leaf_20_clk_regs,219.21µm
digital_domain_inst.cfg_phase90_offset_y\[12\],218.8µm
net1074,218.7µm
net1284,218.5µm
net1440,218.45µm
net1448,218.45µm
analog_readout_output,218.26µm
digital_domain_inst.latch_error_y,217.84µm
net897,217.43µm
net261,216.92µm
net1072,216.31µm
net690,216.21µm
net1491,215.75µm
digital_domain_inst.phase_offset_imported,215.65µm
net1479,215.6µm
_04214_,215.14µm
net1437,215.04µm
clknet_leaf_55_clk_regs,214.73µm
_01523_,214.07µm
digital_domain_inst.cal_phase0_offset_y\[1\],214.02µm
net219,214.02µm
digital_domain_inst.cfg_phase0_offset_x\[15\],213.97µm
_02339_,213.92µm
net120,213.56µm
_00659_,213.46µm
clknet_leaf_22_clk_regs,213.46µm
clknet_leaf_40_clk_regs,213.1µm
_03876_,212.85µm
digital_domain_inst.cfg_phase90_offset_x\[12\],212.85µm
_01459_,212.44µm
net1290,212.44µm
_00673_,212.39µm
clknet_leaf_57_clk_regs,212.34µm
_04123_,212.29µm
digital_domain_inst.raw_edge1_x\[15\],212.06µm
digital_domain_inst.raw_edge2_x\[2\],211.78µm
_02476_,211.22µm
net827,211.17µm
_01264_,211.12µm
net502,210.71µm
_04145_,210.66µm
digital_domain_inst.cfg_phase0_offset_x\[17\],210.66µm
net1765,210.05µm
clknet_leaf_11_clk_regs,209.64µm
net7,209.08µm
digital_domain_inst.raw_edge3_x\[20\],209.03µm
_03120_,208.93µm
digital_domain_inst.cfg_phase270_offset_y\[17\],208.57µm
_04157_,208.42µm
net1338,208.37µm
digital_domain_inst.raw_edge3_y\[15\],208.32µm
digital_domain_inst.wave_controller_x_inst.phase_acc\[16\],208.01µm
_03049_,207.86µm
_05032_,207.86µm
net943,207.86µm
digital_domain_inst.cfg_phase270_offset_y\[12\],207.25µm
digital_domain_inst.delay_wave_cycle_y\[4\],207.25µm
digital_domain_inst.cfg_phase270_offset_y\[19\],206.79µm
clknet_leaf_45_clk_regs,206.79µm
_00648_,206.74µm
net398,206.74µm
net1288,206.74µm
net346,206.64µm
_04237_,206.23µm
digital_domain_inst.raw_edge3_x\[14\],206.08µm
_00785_,205.62µm
net1743,205.57µm
net1794,205.57µm
_01466_,205.11µm
net1537,204.6µm
_00786_,204.59µm
digital_domain_inst.raw_edge3_x\[11\],203.48µm
net362,203.38µm
net29,203.33µm
net85,203.33µm
net74,203.28µm
net209,203.28µm
_00680_,202.82µm
net402,202.82µm
net520,202.77µm
_03674_,202.72µm
net874,202.51µm
clknet_leaf_46_clk_regs,202.51µm
net949,202.36µm
_00544_,202.31µm
digital_domain_inst.signal_processor_x_inst.comp_sync,201.65µm
net1939,201.24µm
net1618,201.19µm
net1690,201.19µm
net1315,201.14µm
net1782,201.14µm
digital_domain_inst.cfg_phase0_offset_x\[13\],201.09µm
_02473_,201.04µm
_00661_,200.48µm
net1078,200.17µm
net1298,200.07µm
_05694_,200.02µm
net308,199.51µm
net280,199.46µm
net1077,199.41µm
digital_domain_inst.raw_edge3_y\[10\],199.36µm
net1297,199µm
net1282,198.95µm
net564,198.85µm
net1495,198.85µm
clknet_leaf_8_clk_regs,198.49µm
net298,198.29µm
net1436,198.29µm
digital_domain_inst.signal_processor_y_inst.votes_out_phase\[2\],197.88µm
digital_domain_inst.spi_regs_inst.cs_n_sync,197.73µm
net597,197.68µm
_00780_,197.42µm
_00710_,197.27µm
net646,197.17µm
net470,197.02µm
net162,196.71µm
_02307_,196.61µm
digital_domain_inst.cfg_phase90_offset_y\[0\],196.61µm
clknet_leaf_29_clk_regs,196.3µm
_00658_,196.05µm
_03718_,195.59µm
digital_domain_inst.delay_wave_cycle_y\[0\],195.59µm
_01580_,195.54µm
net941,195.54µm
_02140_,195.49µm
_01536_,195.44µm
net1936,195.08µm
digital_domain_inst.raw_edge3_y\[3\],194.93µm
net200,194.88µm
digital_domain_inst.cfg_f_MEMS_fcw_x\[3\],194.47µm
_04027_,194.42µm
digital_domain_inst.cfg_f_MEMS_fcw_y\[6\],194.42µm
_02554_,194.32µm
net1769,193.96µm
digital_domain_inst.cfg_phase270_offset_x\[17\],193.81µm
net784,193.81µm
net1031,193.76µm
net1302,193.76µm
digital_domain_inst.raw_edge3_x\[12\],193.25µm
digital_domain_inst.signal_processor_y_inst.votes_out_phase\[0\],193.25µm
digital_domain_inst.cfg_phase270_offset_y\[15\],192.84µm
clknet_leaf_44_clk_regs,192.79µm
net25,192.69µm
_04061_,192.64µm
net680,192.23µm
_04098_,192.18µm
_03973_,192.13µm
net971,192.08µm
clknet_leaf_54_clk_regs,191.97µm
_00749_,191.16µm
digital_domain_inst.cfg_phase90_offset_y\[6\],191.06µm
net332,191.06µm
_01575_,191.01µm
_01153_,190.45µm
net733,189.99µm
net182,189.89µm
net1847,189.89µm
net693,189.84µm
clknet_leaf_2_clk_regs,189.58µm
_03723_,189.28µm
net1358,189.28µm
clknet_leaf_12_clk_regs,188.92µm
_03671_,188.82µm
net409,188.82µm
net1266,188.82µm
net1807,188.82µm
_04014_,188.77µm
digital_domain_inst.raw_edge3_y\[11\],188.77µm
net803,188.77µm
net1766,188.72µm
net373,188.36µm
net2208,188.21µm
net309,188.16µm
digital_domain_inst.cfg_phase90_offset_x\[17\],187.8µm
net1146,187.65µm
net785,187.6µm
digital_domain_inst.cfg_f_MEMS_fcw_y\[2\],187.14µm
digital_domain_inst.raw_edge2_x\[0\],187.14µm
net1174,187.14µm
net235,187.09µm
net1518,187.09µm
net1545,187.09µm
_02395_,187.04µm
digital_domain_inst.raw_edge1_y\[3\],187.04µm
net894,187.04µm
_04042_,186.68µm
net950,186.32µm
clknet_leaf_33_clk_regs,186.17µm
_00714_,186.07µm
_04870_,186.02µm
net687,185.97µm
net1139,185.97µm
net1179,185.97µm
net1319,185.92µm
net1714,185.56µm
net1823,185.51µm
net1878,185.46µm
net1767,184.9µm
net1779,184.85µm
_02141_,184.8µm
net1152,184.8µm
net1079,184.39µm
net1086,184.24µm
net1755,184.24µm
net1109,183.88µm
digital_domain_inst.raw_edge2_x\[4\],183.78µm
net1349,183.78µm
_00720_,183.73µm
digital_domain_inst.raw_edge3_x\[16\],183.73µm
net1746,183.73µm
_03562_,183.68µm
_04160_,183.68µm
_03687_,183.12µm
net660,182.71µm
net961,182.71µm
net1735,182.66µm
_04961_,182.56µm
net576,182.56µm
net732,182.56µm
net1865,182.56µm
_00632_,182.15µm
_00802_,182.05µm
_04044_,182.05µm
net599,182µm
net522,181.64µm
net1280,181.64µm
_00676_,181.59µm
_04004_,181.54µm
net336,181.44µm
digital_domain_inst.raw_edge1_y\[5\],181.03µm
net1739,181.03µm
net1821,181.03µm
_02588_,180.98µm
net1616,180.88µm
_05751_,180.47µm
_00682_,180.42µm
net55,179.86µm
net1602,179.25µm
net1815,179.25µm
net109,179.2µm
net21,178.79µm
net1817,178.69µm
net67,178.64µm
net87,178.64µm
digital_domain_inst.cfg_phase0_offset_x\[9\],178.18µm
_03606_,178.08µm
net557,178.08µm
net1747,178.08µm
net1783,177.62µm
net1838,177.62µm
digital_domain_inst.wave_controller_y_inst.phase_acc\[9\],177.57µm
net1353,177.57µm
net2028,177.57µm
clknet_leaf_52_clk_regs,177.21µm
net1933,177.11µm
net2241,177.06µm
net1439,177.01µm
net198,176.96µm
digital_domain_inst.cfg_f_MEMS_fcw_x\[5\],176.55µm
net266,176.5µm
net1281,176.5µm
_00789_,176.45µm
net903,176.45µm
_01584_,175.99µm
net636,175.99µm
net739,175.99µm
net199,175.94µm
