net,length_um
net1236,236.37µm
net1720,236.09µm
net1723,235.76µm
net1852,235.76µm
digital_domain_inst.raw_edge3_x\[2\],235.3µm
net584,235.2µm
net1281,234.84µm
net569,234.74µm
clknet_leaf_23_clk_regs,233.72µm
digital_domain_inst.cfg_phase270_offset_y\[3\],233.49µm
_00681_,233.16µm
_05554_,233.11µm
net1689,233.02µm
digital_domain_inst.raw_edge3_x\[4\],233.01µm
net945,232.21µm
digital_domain_inst.cfg_phase0_offset_y\[14\],231.94µm
_04024_,231.84µm
net400,231.81µm
clknet_leaf_4_clk_regs,231.58µm
_05767_,231.46µm
digital_domain_inst.cfg_phase270_offset_x\[1\],231.43µm
net1418,231.33µm
_04160_,230.94µm
net1499,230.41µm
digital_domain_inst.raw_edge1_x\[4\],230.36µm
digital_domain_inst.wave_controller_x_inst.phase_acc\[13\],230.36µm
clknet_leaf_22_clk_regs,229.85µm
digital_domain_inst.raw_edge3_x\[17\],229.7µm
net815,229.65µm
net907,229.34µm
digital_domain_inst.cfg_phase270_offset_y\[19\],229.14µm
net1322,229.09µm
_00757_,228.02µm
net1262,228.02µm
_03922_,227.92µm
digital_domain_inst.signal_processor_x_inst.votes_in_phase\[0\],227.92µm
_05770_,227.84µm
digital_domain_inst.cfg_phase90_offset_y\[3\],227.46µm
net822,227.46µm
clknet_leaf_1_clk_regs,227.15µm
net806,227.05µm
digital_domain_inst.raw_edge2_x\[14\],226.9µm
net858,226.9µm
net1764,226.9µm
_00679_,226.44µm
_04870_,226.39µm
digital_domain_inst.cfg_phase270_offset_y\[0\],226.34µm
clknet_leaf_37_clk_regs,226.03µm
_03554_,225.83µm
net338,225.17µm
net1881,224.96µm
clknet_leaf_14_clk_regs,224.96µm
_04090_,224.92µm
net301,224.61µm
net911,224.25µm
digital_domain_inst.cfg_phase90_offset_y\[5\],224.11µm
net906,224.1µm
_00591_,223.59µm
_03864_,223.59µm
net490,223.59µm
_03596_,223.44µm
net1780,223.04µm
digital_domain_inst.spi_regs_inst.reg_wr_addr\[2\],222.98µm
net485,221.86µm
net7,221.81µm
net1637,221.49µm
_00750_,221.3µm
net1901,220.28µm
_00575_,220.23µm
net425,220.13µm
delaynet_1_clk,220.08µm
digital_domain_inst.cfg_phase270_offset_y\[1\],219.67µm
net1232,219.62µm
_01502_,219.59µm
net1463,219.06µm
