net,length_um
wave_controller_y_inst/_1248_,174.36µm
wave_controller_y_inst/net411,174.31µm
wave_controller_y_inst/phase_acc\[15\],174.21µm
wave_controller_y_inst/phase_acc\[11\],174.03µm
wave_controller_y_inst/_1240_,174µm
wave_controller_x_inst/phase_acc\[8\],173.29µm
votes_in_phase_x\[0\],173.19µm
wave_controller_x_inst/_1243_,172.78µm
spi_regs_inst/net231,172.68µm
cfg_f_MEMS_fcw_x\[2\],172.63µm
spi_regs_inst/_0210_,172.58µm
cal_phase90_offset_x\[4\],172.53µm
signal_processor_x_inst/_055_,172.17µm
spi_regs_inst/_0361_,171.68µm
cal_phase0_offset_y\[0\],171.41µm
spi_regs_inst/_0646_,171µm
spi_regs_inst/spi_addr\[0\],170.95µm
raw_edge1_x\[15\],170.39µm
clknet_leaf_1_clk,169.98µm
wave_controller_x_inst/net377,169.93µm
wave_controller_y_inst/phase_acc\[8\],169.83µm
wave_controller_x_inst/net391,169.83µm
spi_regs_inst/_0492_,169.68µm
spi_regs_inst/net304,169.68µm
cfg_phase90_offset_x\[5\],169.27µm
wave_controller_x_inst/_0491_,169.27µm
wave_controller_y_inst/net492,169.22µm
wave_controller_x_inst/net439,168.81µm
cal_phase270_offset_y\[16\],168.71µm
raw_edge3_y\[9\],168.61µm
clknet_leaf_13_clk,168.3µm
wave_controller_y_inst/_1243_,167.69µm
raw_edge1_y\[0\],167.59µm
signal_processor_x_inst/net570,167.08µm
cfg_phase270_offset_y\[6\],166.93µm
wave_controller_x_inst/net524,166.93µm
wave_controller_x_inst/_1226_,166.52µm
cfg_phase270_offset_x\[2\],166.42µm
spi_regs_inst/_0621_,166.37µm
net549,166.01µm
spi_regs_inst/net562,165.96µm
wave_controller_y_inst/_0619_,165.91µm
spi_regs_inst/spi_addr\[1\],165.86µm
spi_regs_inst/_0294_,165.73µm
clknet_leaf_22_clk,165.5µm
spi_regs_inst/net241,165.25µm
spi_regs_inst/_0288_,164.86µm
cfg_phase90_offset_y\[10\],164.79µm
cfg_phase270_offset_y\[10\],164.33µm
boot_complete,164.18µm
cfg_phase270_offset_x\[6\],164.18µm
votes_out_phase_x\[1\],164.18µm
cal_phase270_offset_x\[3\],164.08µm
wave_controller_x_inst/phase_acc\[17\],163.72µm
raw_edge1_y\[1\],163.67µm
spi_regs_inst/net599,163.21µm
wave_controller_y_inst/net420,162.65µm
cfg_f_MEMS_fcw_x\[14\],162.55µm
cfg_phase90_offset_y\[0\],162.55µm
wave_controller_y_inst/phase_acc\[14\],162.5µm
cfg_phase0_offset_x\[19\],162.45µm
wave_controller_x_inst/net590,162.24µm
spi_regs_inst/net601,161.48µm
cfg_f_MEMS_fcw_x\[1\],161.33µm
spi_regs_inst/_0350_,161.33µm
wave_controller_x_inst/net74,161.33µm
cal_phase90_offset_x\[0\],161.28µm
net567,160.87µm
spi_regs_inst/net203,160.82µm
wave_controller_x_inst/net531,160.77µm
net573,160.31µm
spi_regs_inst/net551,159.9µm
clknet_leaf_10_clk,159.85µm
clknet_leaf_43_clk,159.85µm
spi_regs_inst/net259,159.65µm
cal_phase270_offset_x\[6\],159.6µm
cal_phase90_offset_x\[3\],159.14µm
cfg_phase0_offset_y\[19\],158.63µm
wave_controller_y_inst/phase_acc\[10\],158.12µm
wave_controller_y_inst/net597,158.07µm
raw_edge3_x\[18\],158.02µm
wave_controller_y_inst/phase_acc\[18\],157.76µm
raw_edge2_y\[9\],157.51µm
spi_regs_inst/net240,157.51µm
cal_phase270_offset_x\[9\],157.46µm
votes_in_phase_x\[1\],157.36µm
clknet_leaf_40_clk,157.05µm
cal_phase0_offset_y\[3\],156.93µm
cal_phase270_offset_y\[10\],156.85µm
clknet_leaf_11_clk,156.59µm
net532,156.54µm
cfg_phase90_offset_y\[11\],155.93µm
wave_controller_x_inst/_1237_,155.88µm
cfg_phase90_offset_x\[13\],155.83µm
spi_regs_inst/net217,155.83µm
spi_regs_inst/net614,155.83µm
raw_edge3_y\[11\],155.78µm
spi_regs_inst/net232,155.78µm
wave_controller_x_inst/net440,155.42µm
spi_regs_inst/net253,155.32µm
spi_regs_inst/net329,155.32µm
latch_error_y,155.17µm
clknet_leaf_16_clk,154.91µm
clknet_leaf_45_clk,154.81µm
phase_state_y\[1\],154.66µm
net552,154.25µm
clknet_leaf_51_clk,154.2µm
raw_edge2_x\[9\],154.15µm
cal_phase270_offset_x\[15\],153.59µm
raw_edge2_y\[16\],153.59µm
wave_controller_y_inst/phase_acc\[4\],153.08µm
wave_controller_x_inst/net430,152.93µm
wave_controller_x_inst/net619,152.42µm
cal_phase0_offset_y\[10\],152.37µm
clknet_leaf_14_clk,152.11µm
spi_regs_inst/net301,152.01µm
wave_controller_x_inst/_1244_,151.96µm
spi_regs_inst/net189,151.86µm
cfg_phase0_offset_y\[0\],151.81µm
cfg_phase0_offset_y\[17\],151.45µm
cfg_phase270_offset_y\[20\],151.35µm
