net,length_um
cfg_phase0_offset_y\[20\],228.68µm
wave_controller_x_inst/_1205_,228.12µm
wave_controller_x_inst/net677,228.12µm
cal_phase270_offset_y\[11\],227.76µm
spi_regs_inst/net398,227.45µm
spi_regs_inst/_0287_,226.95µm
net963,226.39µm
cal_phase270_offset_y\[14\],226.34µm
spi_regs_inst/_0624_,226.34µm
cal_phase0_offset_y\[8\],225.78µm
raw_edge3_x\[20\],225.32µm
spi_regs_inst/net1102,225.22µm
wave_controller_y_inst/net626,224.71µm
net840,224.71µm
net843,224.66µm
cfg_phase0_offset_x\[3\],224.61µm
cfg_phase90_offset_x\[1\],224.56µm
votes_in_phase_y\[0\],224.15µm
raw_edge1_y\[20\],224.1µm
spi_regs_inst/_0655_,224.1µm
spi_regs_inst/_0210_,223.98µm
cfg_phase270_offset_y\[18\],223.49µm
cfg_phase0_offset_x\[2\],223.13µm
spi_regs_inst/net1101,222.98µm
spi_regs_inst/net1026,222.96µm
net858,222.62µm
net16,221.86µm
spi_regs_inst/net461,221.86µm
spi_regs_inst/net391,221.34µm
spi_regs_inst/net364,220.24µm
wave_controller_y_inst/net275,219.72µm
raw_edge3_x\[15\],219.11µm
wave_controller_y_inst/net637,219.01µm
analog[1],218.96µm
net966,218.68µm
cfg_phase0_offset_x\[19\],218.5µm
spi_regs_inst/net375,218.04µm
cfg_phase90_offset_y\[19\],217.94µm
delaynet_0_clk,217.84µm
votes_out_phase_y\[3\],217.48µm
spi_regs_inst/_0716_,217.38µm
cfg_phase270_offset_x\[5\],216.87µm
cal_phase90_offset_y\[8\],216.74µm
net849,215.75µm
delaynet_2_clk,215.6µm
raw_edge3_y\[16\],214.78µm
net958,214.07µm
cfg_phase270_offset_y\[20\],213.92µm
clknet_leaf_31_clk_regs,213.71µm
spi_regs_inst/net434,213.61µm
cfg_phase0_offset_x\[16\],213.56µm
spi_regs_inst/net400,213.51µm
spi_regs_inst/net413,213.05µm
raw_edge3_x\[13\],212.95µm
net855,212.9µm
raw_edge2_x\[6\],212.54µm
raw_edge2_y\[13\],212.44µm
cal_phase90_offset_y\[4\],211.68µm
net830,211.32µm
raw_edge3_y\[17\],211.22µm
spi_regs_inst/_0704_,210.76µm
cfg_phase0_offset_x\[10\],210.15µm
cfg_phase90_offset_x\[8\],210.1µm
raw_edge2_y\[15\],210µm
clknet_leaf_59_clk_regs,209.64µm
spi_regs_inst/_0724_,209.59µm
wave_controller_x_inst/net689,209.54µm
spi_regs_inst/net422,209.52µm
net848,209.49µm
raw_edge3_y\[7\],208.98µm
net974,208.42µm
cfg_phase90_offset_y\[4\],208.37µm
raw_edge2_y\[16\],207.04µm
cfg_phase0_offset_y\[10\],206.18µm
raw_edge3_x\[5\],205.77µm
raw_edge3_x\[18\],205.26µm
spi_regs_inst/net418,205.16µm
wave_controller_y_inst/_1227_,205.06µm
wave_controller_y_inst/_1213_,204.65µm
net835,204.45µm
spi_regs_inst/_0219_,204.09µm
wave_controller_x_inst/net691,204.09µm
votes_out_phase_x\[1\],203.99µm
cfg_phase270_offset_y\[14\],203.94µm
spi_regs_inst/_0690_,203.38µm
wave_controller_y_inst/_1208_,203.38µm
spi_regs_inst/_0669_,202.82µm
delay_wave_cycle_y\[1\],202.21µm
cfg_phase270_offset_y\[15\],201.75µm
clknet_leaf_12_clk_regs,201.7µm
cfg_phase90_offset_x\[12\],201.65µm
spi_regs_inst/_0207_,200.58µm
cal_phase90_offset_y\[9\],199.92µm
spi_regs_inst/net380,199.46µm
spi_regs_inst/net369,199.1µm
spi_regs_inst/net431,199.05µm
spi_regs_inst/net1000,198.85µm
spi_regs_inst/_0576_,198.39µm
raw_edge1_x\[17\],198.13µm
clknet_leaf_29_clk_regs,197.93µm
cfg_phase0_offset_x\[5\],197.78µm
spi_regs_inst/net383,197.73µm
wave_controller_y_inst/_1221_,197.42µm
net981,196.71µm
spi_regs_inst/_0713_,196.66µm
wave_controller_y_inst/net638,196.66µm
spi_regs_inst/net430,195.54µm
votes_in_phase_x\[2\],195.44µm
spi_regs_inst/_0519_,195.03µm
clknet_leaf_36_clk_regs,194.72µm
spi_regs_inst/net1054,194.42µm
cfg_phase270_offset_y\[12\],194.37µm
raw_edge1_y\[3\],194.37µm
wave_controller_y_inst/net625,194.37µm
cfg_phase270_offset_x\[20\],193.91µm
raw_edge3_y\[13\],193.91µm
wave_controller_x_inst/_1217_,193.86µm
clknet_leaf_2_clk_regs,193.65µm
spi_regs_inst/_0227_,193.35µm
spi_regs_inst/net424,193.35µm
spi_regs_inst/net362,193.3µm
spi_regs_inst/_0611_,192.79µm
cfg_phase0_offset_y\[7\],192.74µm
spi_regs_inst/net433,191.82µm
spi_regs_inst/_0722_,191.57µm
clknet_leaf_32_clk_regs,191.26µm
spi_regs_inst/_0603_,190.5µm
wave_controller_x_inst/_1213_,189.99µm
net854,189.89µm
clknet_leaf_51_clk_regs,189.68µm
spi_regs_inst/_0217_,189.33µm
spi_regs_inst/net995,189.31µm
bidir_out[4],189.14µm
wave_controller_x_inst/_1227_,188.87µm
spi_regs_inst/net456,188.77µm
boot_complete,188.36µm
raw_edge3_x\[3\],188.31µm
cfg_phase90_offset_y\[16\],188.21µm
clknet_leaf_5_clk_regs,187.75µm
wave_controller_x_inst/net287,187.65µm
wave_controller_y_inst/_1217_,186.53µm
wave_controller_y_inst/_1251_,186.02µm
spi_regs_inst/net363,186.02µm
spi_regs_inst/_0678_,185.56µm
spi_regs_inst/net377,185.51µm
spi_regs_inst/_0563_,185.41µm
wave_controller_x_inst/_1222_,185.2µm
cfg_phase90_offset_x\[5\],184.34µm
clknet_leaf_21_clk_regs,183.93µm
net837,183.88µm
net844,183.88µm
cfg_phase90_offset_x\[14\],183.83µm
wave_controller_x_inst/phase_acc\[17\],183.32µm
cal_start,183.17µm
spi_regs_inst/spi_addr\[2\],182.86µm
wave_controller_x_inst/_1208_,182.76µm
raw_edge1_x\[1\],182.66µm
spi_regs_inst/net129,182.61µm
cfg_phase0_offset_x\[6\],182.15µm
net846,182.15µm
wave_controller_y_inst/_1245_,182.1µm
raw_edge1_y\[2\],181.69µm
spi_regs_inst/_0550_,181.59µm
cfg_phase0_offset_y\[15\],181.54µm
raw_edge3_y\[4\],181.44µm
bidir_out[5],181.3µm
net955,181.18µm
spi_regs_inst/net1028,180.93µm
wave_controller_y_inst/_0621_,180.62µm
cfg_phase90_offset_y\[20\],180.52µm
wave_controller_y_inst/net1126,180.37µm
wave_controller_x_inst/phase_acc\[7\],179.91µm
wave_controller_y_inst/net491,179.81µm
cal_phase270_offset_x\[9\],179.76µm
spi_regs_inst/net412,179.4µm
latch_error_y,179.25µm
wave_controller_y_inst/_1326_,179.25µm
spi_regs_inst/net1136,179.25µm
latch_error_x,178.74µm
raw_edge3_x\[6\],178.74µm
spi_regs_inst/net409,178.64µm
cfg_phase90_offset_y\[5\],177.67µm
spi_regs_inst/_0717_,177.21µm
spi_regs_inst/_0677_,177.2µm
spi_regs_inst/net298,177.16µm
spi_regs_inst/net559,177.16µm
spi_regs_inst/net423,177.11µm
wave_controller_x_inst/net349,177.06µm
cfg_f_MEMS_fcw_y\[10\],176.5µm
wave_controller_x_inst/net921,176.5µm
cfg_phase0_offset_x\[8\],176.45µm
spi_regs_inst/spi_addr\[3\],176.04µm
net842,175.99µm
spi_regs_inst/_0214_,175.89µm
spi_regs_inst/net361,175.53µm
wave_controller_y_inst/_1253_,175.43µm
spi_regs_inst/reg_wr_addr\[0\],175.38µm
wave_controller_y_inst/net650,175.38µm
wave_controller_x_inst/_0630_,174.77µm
clknet_leaf_48_clk_regs,174.51µm
wave_controller_x_inst/_0683_,174.31µm
spi_regs_inst/_0436_,174.26µm
spi_regs_inst/net1076,174.26µm
spi_regs_inst/net1014,174.21µm
net969,173.8µm
wave_controller_x_inst/_1251_,173.75µm
cfg_phase0_offset_x\[7\],173.7µm
spi_regs_inst/net300,173.7µm
wave_controller_x_inst/net243,173.65µm
cal_phase270_offset_y\[19\],173.6µm
net841,173.6µm
wave_controller_x_inst/_0621_,173.29µm
spi_regs_inst/net1073,173.19µm
spi_regs_inst/_0216_,173.14µm
spi_regs_inst/net415,173.09µm
wave_controller_x_inst/phase_acc\[1\],172.73µm
delay_wave_cycle_x\[6\],172.68µm
wave_controller_y_inst/net265,172.58µm
spi_regs_inst/net1057,172.58µm
spi_regs_inst/_0511_,172.53µm
cal_phase90_offset_y\[7\],172.48µm
cal_phase270_offset_y\[6\],171.92µm
wave_controller_x_inst/net111,171.92µm
wave_controller_x_inst/_1218_,171.61µm
spi_regs_inst/net392,171.56µm
spi_regs_inst/_0687_,171.51µm
spi_regs_inst/_0488_,171.36µm
net861,170.9µm
spi_regs_inst/net310,170.34µm
cal_phase90_offset_y\[12\],170.24µm
cfg_phase0_offset_y\[16\],170.24µm
spi_regs_inst/net153,170.13µm
raw_edge2_x\[1\],170.08µm
cfg_phase270_offset_y\[16\],169.78µm
spi_regs_inst/net292,169.78µm
spi_regs_inst/net370,169.73µm
wave_controller_y_inst/phase_acc\[2\],169.37µm
spi_regs_inst/net1068,169.27µm
clknet_leaf_33_clk_regs,169.27µm
wave_controller_y_inst/net226,169.12µm
spi_regs_inst/net154,168.66µm
votes_in_phase_x\[0\],168.61µm
wave_controller_x_inst/net944,168.25µm
wave_controller_y_inst/net822,168.1µm
wave_controller_y_inst/_0683_,168µm
bidir_out[8],167.86µm
clknet_leaf_34_clk_regs,167.84µm
wave_controller_x_inst/_1253_,167.64µm
spi_regs_inst/net1109,167.59µm
spi_regs_inst/net1130,167.59µm
clknet_leaf_39_clk_regs,167.13µm
wave_controller_y_inst/_1246_,167.08µm
spi_regs_inst/net394,167.08µm
wave_controller_y_inst/net829,167.03µm
spi_regs_inst/net1047,166.88µm
spi_regs_inst/reg_wr_addr\[1\],166.47µm
raw_edge1_x\[15\],166.42µm
clknet_leaf_20_clk_regs,166.42µm
wave_controller_y_inst/net190,166.32µm
spi_regs_inst/net432,166.32µm
cal_phase90_offset_x\[16\],165.86µm
wave_controller_y_inst/_0647_,165.86µm
spi_regs_inst/net299,165.25µm
net949,164.84µm
raw_edge2_x\[20\],164.74µm
spi_regs_inst/net998,164.74µm
spi_regs_inst/net1005,164.74µm
spi_regs_inst/net428,164.69µm
cal_phase270_offset_x\[7\],164.61µm
raw_edge3_y\[5\],164.33µm
cal_phase90_offset_x\[10\],164.08µm
wave_controller_x_inst/net684,163.67µm
spi_regs_inst/net372,163.62µm
raw_edge3_y\[3\],163.57µm
spi_regs_inst/net373,163.57µm
spi_regs_inst/net1088,163.06µm
wave_controller_x_inst/_1053_,163.01µm
wave_controller_y_inst/_1364_,162.96µm
wave_controller_y_inst/_1222_,162.65µm
spi_regs_inst/net297,162.54µm
cfg_phase90_offset_y\[12\],162.5µm
spi_regs_inst/net381,162.5µm
cfg_phase90_offset_x\[4\],162.4µm
spi_regs_inst/net399,162.4µm
raw_edge1_x\[0\],162.19µm
wave_controller_x_inst/_0712_,161.94µm
spi_regs_inst/net19,161.84µm
cal_phase270_offset_x\[5\],161.57µm
clknet_leaf_43_clk_regs,161.53µm
spi_regs_inst/_0654_,161.38µm
wave_controller_y_inst/net161,161.38µm
clknet_leaf_35_clk_regs,161.12µm
spi_regs_inst/net419,160.92µm
spi_regs_inst/net296,160.82µm
wave_controller_y_inst/net800,160.77µm
spi_regs_inst/net1074,160.31µm
wave_controller_x_inst/net214,160.16µm
cal_phase0_offset_x\[5\],160.13µm
spi_regs_inst/net387,159.85µm
spi_regs_inst/_0218_,159.75µm
wave_controller_y_inst/_0613_,159.75µm
clknet_leaf_50_clk_regs,159.7µm
spi_regs_inst/net1039,158.58µm
cal_phase90_offset_x\[9\],158.12µm
raw_edge3_y\[14\],158.12µm
wave_controller_x_inst/net690,158.07µm
cal_phase0_offset_y\[10\],157.92µm
wave_controller_y_inst/_1233_,157.51µm
spi_regs_inst/net1078,157.36µm
wave_controller_y_inst/wave_cycle_cnt\[3\],157.15µm
wave_controller_y_inst/net72,156.95µm
spi_regs_inst/_0668_,156.9µm
wave_controller_x_inst/net885,156.9µm
wave_controller_x_inst/wave_cycle_cnt\[1\],156.72µm
wave_controller_x_inst/_1245_,156.49µm
wave_controller_x_inst/capture_step\[2\],156.49µm
cal_phase0_offset_y\[9\],156.44µm
spi_regs_inst/_0211_,156.34µm
cfg_phase270_offset_x\[13\],156.24µm
spi_regs_inst/_0226_,156.04µm
spi_regs_inst/_0215_,155.93µm
wave_controller_x_inst/net920,155.78µm
raw_edge3_y\[18\],155.73µm
wave_controller_y_inst/_0156_,155.73µm
spi_regs_inst/net374,155.73µm
spi_regs_inst/net379,155.68µm
cfg_phase90_offset_y\[8\],155.37µm
wave_controller_x_inst/net683,155.37µm
wave_controller_y_inst/net632,155.32µm
