net,length_um
wave_controller_y_inst/_1217_,197.22µm
spi_regs_inst/_0687_,196.71µm
wave_controller_y_inst/_1216_,196.66µm
spi_regs_inst/net446,196.05µm
spi_regs_inst/net428,195.74µm
net979,195.64µm
raw_edge2_x\[0\],195.44µm
cfg_phase90_offset_y\[7\],193.86µm
spi_regs_inst/net409,193.51µm
spi_regs_inst/net404,193.47µm
net977,193.45µm
net962,193.4µm
raw_edge3_y\[5\],193.3µm
spi_regs_inst/net466,192.69µm
spi_regs_inst/net1101,192.13µm
raw_edge3_y\[13\],191.21µm
cal_phase270_offset_x\[15\],191.01µm
clknet_leaf_4_clk,190.7µm
spi_regs_inst/spi_addr\[3\],190.6µm
clknet_leaf_26_clk,190.14µm
cfg_phase270_offset_x\[20\],189.94µm
spi_regs_inst/_0673_,189.58µm
wave_controller_y_inst/_1251_,189.48µm
raw_edge1_y\[0\],189.43µm
spi_regs_inst/_0721_,189.33µm
clknet_leaf_32_clk,188.36µm
cfg_phase90_offset_x\[7\],188.31µm
spi_regs_inst/_0706_,188.26µm
spi_regs_inst/net395,187.85µm
wave_controller_y_inst/_1246_,187.75µm
raw_edge2_x\[1\],187.14µm
wave_controller_y_inst/_1205_,186.73µm
delay_wave_cycle_x\[0\],185.97µm
wave_controller_x_inst/net700,185.92µm
raw_edge2_x\[2\],185.56µm
spi_regs_inst/_0224_,185.56µm
net846,184.8µm
net965,184.49µm
cal_phase90_offset_y\[20\],184.39µm
spi_regs_inst/net405,183.88µm
raw_edge3_x\[3\],183.83µm
spi_regs_inst/_0216_,183.32µm
spi_regs_inst/net435,183.12µm
spi_regs_inst/net393,182.86µm
spi_regs_inst/net312,182.66µm
spi_regs_inst/net408,182.66µm
cfg_phase90_offset_x\[14\],182.2µm
spi_regs_inst/net467,182.2µm
spi_regs_inst/_0713_,182.05µm
spi_regs_inst/_0355_,182µm
clknet_leaf_19_clk,181.79µm
spi_regs_inst/net1054,181.44µm
cfg_phase0_offset_y\[10\],180.98µm
latch_error_y,180.98µm
raw_edge1_x\[7\],180.98µm
cfg_phase270_offset_x\[13\],180.57µm
wave_controller_y_inst/_1218_,180.57µm
wave_controller_x_inst/net945,180.42µm
net961,180.42µm
net964,180.16µm
spi_regs_inst/net411,179.96µm
raw_edge2_y\[13\],179.86µm
spi_regs_inst/_0682_,179.86µm
spi_regs_inst/net417,179.45µm
cal_phase0_offset_x\[0\],178.23µm
wave_controller_y_inst/net815,178.23µm
raw_edge3_y\[7\],178.18µm
clknet_leaf_6_clk,177.72µm
spi_regs_inst/net400,177.52µm
