net,length_um
wave_controller_y_inst/_1215_,201.85µm
cfg_phase90_offset_x\[12\],201.75µm
net863,201.75µm
wave_controller_x_inst/net692,201.19µm
raw_edge1_x\[8\],200.58µm
votes_in_phase_y\[0\],200.53µm
raw_edge1_y\[13\],200.17µm
cfg_phase90_offset_y\[20\],200.02µm
spi_regs_inst/net376,199.05µm
spi_regs_inst/net310,198.94µm
spi_regs_inst/_0519_,198.85µm
wave_controller_x_inst/_1213_,198.49µm
spi_regs_inst/net429,197.42µm
spi_regs_inst/spi_addr\[3\],197.32µm
wave_controller_x_inst/_1053_,196.76µm
spi_regs_inst/net373,196.76µm
wave_controller_x_inst/net110,196.71µm
wave_controller_y_inst/net651,196.71µm
wave_controller_y_inst/_0615_,196.61µm
cal_phase0_offset_x\[0\],196.15µm
spi_regs_inst/_0669_,196.1µm
spi_regs_inst/net1126,196µm
wave_controller_y_inst/_1205_,195.64µm
raw_edge2_y\[13\],195.54µm
spi_regs_inst/net1028,195.49µm
net973,195.44µm
clknet_leaf_37_clk_regs,195.23µm
wave_controller_y_inst/_1251_,194.98µm
cfg_phase0_offset_x\[5\],194.06µm
spi_regs_inst/net447,193.25µm
spi_regs_inst/net436,192.99µm
raw_edge3_x\[18\],192.79µm
spi_regs_inst/net1120,192.79µm
spi_regs_inst/net469,192.74µm
spi_regs_inst/net416,192.28µm
cfg_phase270_offset_y\[6\],192.23µm
spi_regs_inst/net418,192.18µm
raw_edge1_x\[1\],192.08µm
spi_regs_inst/_0212_,191.72µm
clknet_leaf_36_clk_regs,191.62µm
wave_controller_x_inst/net707,190.75µm
cfg_phase270_offset_y\[15\],190.6µm
cfg_phase270_offset_x\[7\],190.55µm
_04_,190.5µm
cfg_phase90_offset_y\[7\],189.53µm
cfg_phase0_offset_x\[7\],189.43µm
wave_controller_y_inst/net506,189.38µm
wave_controller_y_inst/_1253_,189.33µm
clknet_leaf_10_clk_regs,188.82µm
latch_error_y,188.26µm
spi_regs_inst/net1151,188.26µm
spi_regs_inst/net414,187.85µm
wave_controller_y_inst/net650,187.75µm
cal_phase0_offset_y\[8\],187.62µm
spi_regs_inst/_0207_,187.29µm
wave_controller_y_inst/_0621_,187.19µm
spi_regs_inst/net430,186.17µm
cal_phase90_offset_y\[9\],185.97µm
raw_edge2_y\[16\],185.66µm
raw_edge3_x\[6\],185.56µm
spi_regs_inst/_0673_,185.51µm
spi_regs_inst/net439,185.51µm
spi_regs_inst/_0716_,185.41µm
latch_error_x,184.85µm
wave_controller_x_inst/net225,184.8µm
wave_controller_x_inst/net907,184.39µm
wave_controller_x_inst/net123,184.24µm
clknet_leaf_61_clk_regs,183.98µm
clknet_leaf_52_clk_regs,183.88µm
clknet_leaf_39_clk_regs,183.83µm
clknet_leaf_45_clk_regs,183.37µm
raw_edge1_y\[3\],183.32µm
spi_regs_inst/_0711_,183.27µm
cfg_phase270_offset_x\[5\],183.22µm
net851,183.22µm
spi_regs_inst/net446,182.71µm
spi_regs_inst/net1053,182.66µm
clknet_leaf_29_clk_regs,182.61µm
spi_regs_inst/net375,182.2µm
spi_regs_inst/net442,182.15µm
spi_regs_inst/net1019,182.15µm
net856,181.59µm
spi_regs_inst/net474,181.54µm
spi_regs_inst/net389,181.03µm
spi_regs_inst/net392,181.03µm
cal_phase270_offset_y\[19\],180.98µm
raw_edge3_y\[4\],180.98µm
wave_controller_x_inst/_1246_,180.47µm
spi_regs_inst/net420,180.42µm
net878,180.37µm
wave_controller_y_inst/_1216_,179.96µm
cal_phase270_offset_x\[5\],179.81µm
spi_regs_inst/net460,179.81µm
raw_edge3_x\[5\],179.4µm
spi_regs_inst/reg_wr_addr\[0\],179.4µm
wave_controller_y_inst/_1245_,179.4µm
spi_regs_inst/_0550_,179.35µm
net968,179.2µm
spi_regs_inst/_0678_,178.14µm
raw_edge1_y\[2\],177.72µm
votes_in_phase_x\[0\],177.16µm
raw_edge1_x\[14\],177.11µm
cfg_phase90_offset_x\[14\],177.01µm
spi_regs_inst/net438,177.01µm
bidir_out[8],176.82µm
spi_regs_inst/net401,176.45µm
cal_phase270_offset_y\[6\],176.4µm
cfg_phase90_offset_x\[8\],175.94µm
cfg_phase90_offset_y\[5\],175.43µm
net876,175.33µm
spi_regs_inst/net143,175.02µm
clknet_leaf_35_clk_regs,174.92µm
raw_edge2_y\[11\],174.87µm
wave_controller_y_inst/_1246_,174.87µm
wave_controller_x_inst/net109,174.82µm
cal_phase270_offset_x\[9\],174.31µm
spi_regs_inst/net159,174.26µm
wave_controller_y_inst/net839,173.8µm
wave_controller_y_inst/net278,173.75µm
cal_start,173.7µm
spi_regs_inst/_0210_,173.7µm
wave_controller_x_inst/capture_step\[2\],173.24µm
net1307,173.24µm
wave_controller_y_inst/_1222_,173.19µm
wave_controller_y_inst/net785,173.19µm
spi_regs_inst/_0646_,173.09µm
spi_regs_inst/net1087,172.73µm
cfg_f_MEMS_fcw_y\[13\],172.58µm
wave_controller_x_inst/net698,172.58µm
cal_phase0_offset_x\[6\],172.55µm
spi_regs_inst/_0235_,172.48µm
cal_phase0_offset_x\[5\],172.41µm
spi_regs_inst/net1067,172.07µm
raw_edge2_y\[18\],171.46µm
cfg_phase270_offset_y\[17\],171.18µm
signal_processor_x_inst/net476,171.1µm
raw_edge3_x\[3\],171.05µm
wave_controller_y_inst/net1129,170.9µm
net760,170.85µm
spi_regs_inst/net374,170.8µm
spi_regs_inst/_0219_,170.34µm
spi_regs_inst/_0603_,170.34µm
wave_controller_y_inst/net349,170.34µm
wave_controller_y_inst/net169,169.73µm
cfg_phase270_offset_y\[14\],169.27µm
soft_rst,169.27µm
wave_controller_x_inst/_0630_,168.91µm
cal_phase270_offset_y\[9\],168.66µm
cfg_phase270_offset_x\[13\],168.66µm
spi_regs_inst/_0226_,168.46µm
wave_controller_x_inst/net681,168.3µm
wave_controller_y_inst/net840,168.2µm
wave_controller_x_inst/_1251_,168.15µm
spi_regs_inst/net433,167.54µm
wave_controller_y_inst/_0647_,167.49µm
spi_regs_inst/net394,167.23µm
net1554,166.42µm
cal_phase90_offset_y\[7\],166.37µm
raw_edge1_x\[15\],166.32µm
spi_regs_inst/_0334_,165.93µm
wave_controller_x_inst/_1245_,165.91µm
clknet_leaf_0_clk_regs,165.45µm
cal_phase0_offset_y\[9\],165.4µm
raw_edge3_y\[14\],165.35µm
spi_regs_inst/net1131,165.35µm
spi_regs_inst/_0562_,165.2µm
cfg_phase0_offset_y\[15\],164.97µm
cal_phase270_offset_x\[7\],164.79µm
clknet_leaf_54_clk_regs,164.33µm
wave_controller_y_inst/phase_acc\[2\],163.67µm
spi_regs_inst/net400,163.62µm
spi_regs_inst/net399,163.57µm
spi_regs_inst/net157,163.16µm
cal_phase270_offset_x\[6\],163.13µm
spi_regs_inst/_0355_,163.06µm
spi_regs_inst/net276,163.06µm
wave_controller_x_inst/net706,163.01µm
wave_controller_x_inst/net256,162.96µm
wave_controller_x_inst/_0683_,162.6µm
cfg_phase90_offset_y\[8\],162.5µm
wave_controller_y_inst/net168,162.5µm
cal_phase270_offset_y\[3\],161.99µm
wave_controller_x_inst/net251,161.99µm
wave_controller_x_inst/net535,161.99µm
spi_regs_inst/net130,161.94µm
wave_controller_x_inst/_1218_,161.53µm
spi_regs_inst/_0687_,161.43µm
spi_regs_inst/_0699_,161.43µm
wave_controller_x_inst/net259,161.43µm
spi_regs_inst/net408,161.38µm
spi_regs_inst/net1146,161.38µm
bidir_out[9],161.19µm
spi_regs_inst/reg_wr_addr\[2\],161.02µm
spi_regs_inst/_0576_,160.97µm
raw_edge3_y\[13\],160.92µm
net7,160.87µm
wave_controller_y_inst/_1248_,160.77µm
spi_regs_inst/net160,160.76µm
cfg_phase270_offset_y\[16\],160.31µm
spi_regs_inst/net1104,160.21µm
net1555,160.21µm
net857,160.16µm
clknet_leaf_34_clk_regs,159.9µm
spi_regs_inst/reg_wr_data\[7\],159.75µm
spi_regs_inst/net576,159.75µm
wave_controller_y_inst/net237,159.7µm
net8,159.65µm
wave_controller_x_inst/phase_acc\[16\],159.65µm
wave_controller_x_inst/net939,159.6µm
clknet_leaf_18_clk_regs,159.34µm
spi_regs_inst/_0654_,159.24µm
spi_regs_inst/_0208_,159.19µm
spi_regs_inst/_0488_,159.19µm
wave_controller_x_inst/_0811_,159.14µm
spi_regs_inst/net386,159.09µm
spi_regs_inst/_0367_,158.58µm
clknet_leaf_38_clk_regs,158.37µm
net4,158.12µm
wave_controller_x_inst/net142,157.97µm
raw_edge3_y\[15\],157.51µm
wave_controller_y_inst/net74,157.51µm
spi_regs_inst/net1010,157.51µm
cfg_phase0_offset_y\[16\],157.46µm
wave_controller_y_inst/_1364_,156.8µm
spi_regs_inst/net391,156.8µm
spi_regs_inst/net1030,156.8µm
wave_controller_y_inst/wave_cycle_cnt\[1\],156.67µm
clknet_leaf_23_clk_regs,156.49µm
cal_phase90_offset_x\[9\],156.47µm
spi_regs_inst/net403,156.34µm
net1557,156.29µm
spi_regs_inst/_0659_,156.24µm
wave_controller_x_inst/net290,156.24µm
spi_regs_inst/_0668_,155.78µm
wave_controller_y_inst/net1140,155.78µm
wave_controller_x_inst/net540,155.68µm
wave_controller_y_inst/net763,155.5µm
clknet_leaf_20_clk_regs,155.27µm
wave_controller_x_inst/net223,155.22µm
spi_regs_inst/net415,155.22µm
cfg_phase0_offset_x\[12\],155.17µm
spi_regs_inst/net421,155.17µm
cal_phase270_offset_y\[8\],155.12µm
spi_regs_inst/_0642_,154.71µm
wave_controller_x_inst/net539,154.71µm
spi_regs_inst/_0415_,154.66µm
wave_controller_x_inst/net214,154.61µm
wave_controller_y_inst/_0893_,154.56µm
spi_regs_inst/net18,154.56µm
spi_regs_inst/net431,154.2µm
wave_controller_x_inst/_0418_,154.15µm
spi_regs_inst/net309,154.1µm
spi_regs_inst/net312,154.1µm
spi_regs_inst/_0605_,153.54µm
wave_controller_x_inst/_0712_,153.49µm
clknet_leaf_6_clk_regs,153.08µm
wave_controller_x_inst/net127,153.03µm
spi_regs_inst/_0702_,152.93µm
wave_controller_x_inst/net525,152.52µm
spi_regs_inst/net1013,152.47µm
clknet_leaf_60_clk_regs,152.47µm
wave_controller_x_inst/net947,152.42µm
spi_regs_inst/net419,152.37µm
wave_controller_x_inst/net718,151.91µm
raw_edge3_y\[18\],151.86µm
cal_phase90_offset_x\[16\],151.81µm
spi_regs_inst/net1031,151.76µm
spi_regs_inst/net1093,151.76µm
wave_controller_x_inst/phase_acc\[2\],151.35µm
spi_regs_inst/net1138,151.3µm
spi_regs_inst/_0317_,151.25µm
clknet_leaf_33_clk_regs,150.89µm
wave_controller_x_inst/net362,150.79µm
spi_regs_inst/_0689_,150.74µm
wave_controller_y_inst/_0156_,150.69µm
cfg_phase0_offset_x\[8\],150.33µm
wave_controller_x_inst/phase_acc\[1\],150.23µm
wave_controller_y_inst/net644,150.23µm
cfg_phase90_offset_y\[12\],150.18µm
spi_regs_inst/_0218_,149.77µm
spi_regs_inst/net244,149.74µm
spi_regs_inst/net398,149.67µm
spi_regs_inst/_0682_,149.62µm
wave_controller_y_inst/_1217_,149.62µm
wave_controller_y_inst/net492,149.62µm
cfg_phase270_offset_y\[8\],149.06µm
spi_regs_inst/_0419_,149.06µm
net861,148.83µm
cfg_phase0_offset_y\[7\],148.6µm
cfg_phase0_offset_y\[13\],148.55µm
wave_controller_y_inst/net136,148.5µm
spi_regs_inst/net1063,148.45µm
spi_regs_inst/net304,148.4µm
spi_regs_inst/net1088,148.4µm
spi_regs_inst/_0534_,148.04µm
wave_controller_x_inst/_1029_,147.99µm
spi_regs_inst/net443,147.99µm
spi_regs_inst/_0476_,147.94µm
spi_regs_inst/_0707_,147.94µm
wave_controller_y_inst/_1255_,147.94µm
cal_phase90_offset_x\[10\],147.84µm
wave_controller_y_inst/_1203_,147.53µm
spi_regs_inst/_0225_,147.43µm
spi_regs_inst/net387,147.43µm
wave_controller_y_inst/_1323_,147.38µm
spi_regs_inst/net1086,147.38µm
spi_regs_inst/_0507_,147.33µm
wave_controller_y_inst/net44,147.33µm
raw_edge2_y\[1\],147.07µm
clknet_leaf_44_clk_regs,147.02µm
wave_controller_x_inst/_1253_,146.92µm
wave_controller_y_inst/net846,146.92µm
spi_regs_inst/net1102,146.92µm
spi_regs_inst/net268,146.87µm
raw_edge3_y\[19\],146.77µm
wave_controller_x_inst/_1323_,146.31µm
spi_regs_inst/net311,146.31µm
wave_controller_x_inst/phase_acc\[9\],146.26µm
cal_phase90_offset_y\[16\],146.21µm
wave_controller_y_inst/_0712_,146.21µm
wave_controller_y_inst/net819,146.21µm
wave_controller_y_inst/phase_acc\[17\],145.7µm
spi_regs_inst/_0575_,145.65µm
wave_controller_x_inst/_0621_,145.39µm
clknet_leaf_15_clk_regs,145.39µm
net988,145.24µm
raw_edge2_y\[12\],145.19µm
wave_controller_y_inst/_1009_,145.19µm
spi_regs_inst/net1027,145.19µm
wave_controller_x_inst/net126,145.09µm
net755,145.09µm
spi_regs_inst/_0377_,145.04µm
wave_controller_x_inst/_1233_,145.04µm
spi_regs_inst/net434,144.73µm
clknet_leaf_30_clk_regs,144.73µm
cfg_f_MEMS_fcw_y\[10\],144.63µm
net1236,144.63µm
spi_regs_inst/_0700_,144.58µm
wave_controller_y_inst/phase_acc\[4\],144.58µm
wave_controller_x_inst/net213,144.58µm
spi_regs_inst/net425,144.53µm
cal_phase0_offset_y\[14\],144.48µm
wave_controller_x_inst/net517,144.17µm
wave_controller_x_inst/_1224_,144.07µm
cfg_phase0_offset_y\[1\],144.02µm
spi_regs_inst/_0705_,144.02µm
spi_regs_inst/_0546_,143.97µm
wave_controller_x_inst/_0703_,143.51µm
spi_regs_inst/net1042,143.51µm
spi_regs_inst/_0452_,143.41µm
cal_phase0_offset_x\[1\],142.95µm
raw_edge2_y\[9\],142.85µm
spi_regs_inst/net1103,142.8µm
spi_regs_inst/_0206_,142.39µm
wave_controller_x_inst/net940,142.34µm
wave_controller_x_inst/_0629_,142.29µm
wave_controller_y_inst/wave_cycle_cnt\[3\],141.88µm
net852,141.83µm
spi_regs_inst/_0215_,141.78µm
wave_controller_x_inst/_0893_,141.78µm
wave_controller_y_inst/net75,141.78µm
wave_controller_y_inst/net200,141.68µm
spi_regs_inst/net1101,141.68µm
clknet_leaf_55_clk_regs,141.47µm
