net,length_um
spi_regs_inst/spi_addr\[1\],189.99µm
cal_phase0_offset_x\[0\],189.43µm
wave_controller_y_inst/net634,188.82µm
clknet_leaf_3_clk_regs,188.51µm
wave_controller_y_inst/_0621_,188.41µm
net843,188.31µm
spi_regs_inst/net442,188.26µm
wave_controller_y_inst/phase_acc\[2\],188.21µm
spi_regs_inst/_0550_,187.6µm
cfg_phase270_offset_y\[14\],186.48µm
raw_edge3_y\[4\],186.17µm
wave_controller_y_inst/net332,186.07µm
spi_regs_inst/net991,185.97µm
spi_regs_inst/net1081,185.56µm
spi_regs_inst/net416,185.51µm
spi_regs_inst/net360,185.41µm
spi_regs_inst/net374,184.9µm
clknet_leaf_53_clk_regs,184.59µm
latch_error_x,183.78µm
spi_regs_inst/net252,183.45µm
raw_edge3_x\[6\],183.27µm
spi_regs_inst/_0519_,182.71µm
raw_edge3_y\[13\],182.66µm
spi_regs_inst/net415,182.1µm
spi_regs_inst/net1034,182.1µm
wave_controller_x_inst/net919,182.05µm
spi_regs_inst/_0217_,181.64µm
spi_regs_inst/_0219_,181.03µm
spi_regs_inst/net394,181.03µm
cal_phase270_offset_x\[9\],180.73µm
cfg_phase90_offset_x\[8\],180.42µm
spi_regs_inst/net359,180.42µm
spi_regs_inst/net149,179.58µm
cal_start,179.25µm
bidir_out[5],179.06µm
wave_controller_x_inst/net905,178.89µm
cfg_phase90_offset_y\[12\],178.84µm
raw_edge3_x\[3\],178.84µm
cfg_phase90_offset_x\[4\],178.79µm
clknet_leaf_9_clk_regs,178.79µm
wave_controller_y_inst/net799,178.74µm
net852,178.74µm
raw_edge2_y\[16\],178.28µm
wave_controller_y_inst/_1246_,177.62µm
spi_regs_inst/net555,177.57µm
spi_regs_inst/_0666_,177.21µm
spi_regs_inst/net1210,177.11µm
cal_phase90_offset_y\[12\],177.01µm
spi_regs_inst/reg_wr_addr\[2\],176.6µm
wave_controller_y_inst/_1253_,176.6µm
cfg_phase0_offset_x\[7\],176.45µm
wave_controller_y_inst/net1119,176.45µm
spi_regs_inst/_0646_,176.09µm
net945,175.99µm
cfg_phase0_offset_x\[8\],175.94µm
wave_controller_y_inst/net157,175.38µm
cfg_phase0_offset_x\[6\],174.82µm
spi_regs_inst/_0383_,174.77µm
spi_regs_inst/net409,174.72µm
spi_regs_inst/_0717_,174.36µm
wave_controller_y_inst/_1227_,174.36µm
clknet_leaf_42_clk_regs,174.36µm
votes_in_phase_x\[0\],174.21µm
spi_regs_inst/net418,173.8µm
wave_controller_x_inst/net677,173.75µm
