net,length_um
net506,106.65µm
_0252_,106.5µm
net131,106.5µm
net772,106.45µm
_0645_,106.4µm
_0206_,105.89µm
raw_edge1_y[3],105.7µm
_0478_,105.43µm
net63,105.38µm
_0287_,105.28µm
net501,105.28µm
net840,105.28µm
net215,104.77µm
_0336_,104.72µm
net186,104.21µm
net751,104.16µm
net209,103.65µm
net742,103.65µm
net51,103.6µm
net81,103.6µm
net156,103.6µm
raw_edge1_y[6],103.46µm
_0212_,103.04µm
_0610_,102.68µm
reg_wr_addr\[2\],102.58µm
_0502_,102.53µm
_0694_,102.48µm
raw_edge1_y[9],102.39µm
net686,102.07µm
net626,101.97µm
_0700_,101.92µm
net49,101.46µm
net645,101.41µm
net738,101.18µm
net715,100.95µm
_0473_,100.9µm
net172,100.8µm
reg_wr_addr\[0\],100.49µm
net863,100.39µm
_0613_,100.34µm
_0588_,99.78µm
net759,99.78µm
net113,99.73µm
net465,99.17µm
_0286_,99.12µm
net579,99.12µm
net461,98.66µm
net304,98.66µm
_0218_,98.61µm
net470,98.61µm
net749,98.1µm
net180,98.05µm
net399,98µm
delay_wave_cycle_y[1],97.91µm
net385,97.49µm
net301,97.44µm
net722,97.44µm
_0358_,97.33µm
_0644_,96.98µm
net87,96.93µm
net73,96.88µm
net134,96.88µm
_0577_,96.42µm
net482,96.37µm
net479,95.96µm
_0461_,95.81µm
_0616_,95.76µm
_0289_,95.3µm
net590,95.3µm
net115,95.25µm
net568,95.2µm
_0277_,94.64µm
_0366_,94.64µm
net161,94.64µm
net748,94.64µm
_0585_,94.13µm
net702,94.08µm
delay_wave_cycle_y[7],93.94µm
net515,93.67µm
net158,93.62µm
net120,93.52µm
_0538_,93.06µm
net885,92.5µm
_0428_,92.4µm
_0615_,92.4µm
_0514_,92.04µm
net67,91.89µm
net217,91.89µm
net767,91.89µm
net768,91.84µm
net744,91.38µm
delay_wave_cycle_y[5],91.14µm
net852,90.87µm
net362,90.82µm
net478,90.72µm
_0471_,90.26µm
net523,90.26µm
net207,90.21µm
net712,90.21µm
net887,90.21µm
rx_shift\[0\],89.7µm
_0480_,89.19µm
net577,89.19µm
net197,89.04µm
net481,89.04µm
net628,88.58µm
net770,88.58µm
net429,88.48µm
net683,88.48µm
raw_edge1_y[12],88.34µm
_0556_,88.02µm
net149,88.02µm
net599,88.02µm
net688,88.02µm
_0462_,87.97µm
_0679_,87.97µm
net758,87.97µm
spi_addr\[1\],87.71µm
_0454_,87.56µm
net47,87.51µm
net181,87.36µm
_0497_,87.23µm
_0591_,86.85µm
_0221_,86.8µm
net709,86.8µm
net804,86.34µm
_0280_,86.29µm
_0362_,86.29µm
reg_wr_addr\[3\],86.29µm
net561,86.29µm
net213,85.83µm
net251,85.83µm
_0311_,85.78µm
net693,85.73µm
net150,85.68µm
net212,85.68µm
net423,85.32µm
net509,85.27µm
net661,85.17µm
net690,84.66µm
_0438_,84.56µm
_0681_,84.56µm
spi_addr\[2\],84.2µm
net562,84.15µm
net705,84.15µm
net173,84µm
_0511_,83.54µm
net854,83.44µm
_0517_,83.08µm
_0326_,82.93µm
net512,82.93µm
net720,82.93µm
net766,82.93µm
_0705_,82.88µm
net151,82.88µm
reg_wr_addr\[5\],82.88µm
net203,82.47µm
_0692_,82.42µm
net260,82.32µm
raw_edge1_y[5],82.23µm
net306,81.86µm
net504,81.86µm
net704,81.86µm
net653,81.81µm
net741,81.81µm
_0421_,81.76µm
net144,81.76µm
net295,81.76µm
raw_edge1_y[13],81.67µm
raw_edge1_y[18],81.06µm
_0405_,80.64µm
net111,80.64µm
raw_edge1_x[16],80.55µm
reg_wr_addr\[1\],80.23µm
_0647_,80.18µm
net745,80.18µm
_0587_,80.13µm
_0632_,80.08µm
net103,80.08µm
raw_edge1_y[14],79.94µm
net485,79.67µm
net245,79.57µm
net627,79.57µm
_0269_,79.01µm
net91,78.96µm
net865,78.5µm
_0695_,78.4µm
net636,78.4µm
net118,77.94µm
net168,77.94µm
net602,77.94µm
net625,77.94µm
cfg_phase90_offset_y[4],77.75µm
_0261_,77.33µm
net90,77.33µm
raw_edge1_y[7],77.14µm
net713,76.87µm
_0208_,76.77µm
_0285_,76.77µm
_0414_,76.77µm
net238,76.72µm
net752,76.26µm
_0306_,76.21µm
_0621_,76.16µm
delay_wave_cycle_y[6],76.02µm
net771,75.7µm
net667,75.65µm
net204,75.6µm
raw_edge1_y[19],75.46µm
net576,75.14µm
