net,length_um
net544,243.09µm
cfg_phase270_offset_x\[19\],242.91µm
_02627_,242.69µm
net345,242.53µm
net322,241.97µm
net572,241.66µm
raw_edge2_x\[12\],241.61µm
cfg_phase90_offset_y\[13\],241.51µm
_03198_,240.34µm
spi_miso_oe,240.29µm
wave_controller_y_inst.phase_acc\[15\],239.78µm
raw_edge1_x\[17\],239.42µm
net155,238.3µm
raw_edge1_x\[13\],238.15µm
raw_edge3_x\[8\],238.15µm
raw_edge3_y\[17\],238.15µm
signal_processor_x_inst.votes_out_phase\[2\],237.08µm
net610,237.03µm
net552,235.96µm
net431,235.86µm
net313,235.65µm
net535,235.6µm
raw_edge1_x\[1\],235.4µm
cfg_phase270_offset_y\[18\],234.94µm
net61,233.57µm
net508,233.31µm
cal_phase0_offset_x\[0\],233.16µm
_00650_,232.7µm
wave_controller_y_inst.phase_acc\[16\],232.27µm
_01767_,232.16µm
net153,232.09µm
_01758_,232.02µm
net614,231.12µm
signal_processor_y_inst.votes_in_phase\[3\],230.92µm
net538,230.82µm
cfg_f_MEMS_fcw_x\[13\],229.29µm
raw_edge1_x\[15\],228.07µm
delay_wave_cycle_x\[5\],228.02µm
net65,227.71µm
net303,227.1µm
net384,227.05µm
wave_controller_y_inst.phase_acc\[14\],226.39µm
net522,226.03µm
net526,225.98µm
raw_edge3_y\[20\],225.73µm
net55,225.73µm
_00611_,225.32µm
net27,225.32µm
raw_edge1_y\[14\],225.22µm
raw_edge2_y\[8\],225.09µm
net390,224.81µm
_03145_,224.71µm
raw_edge3_y\[18\],224.66µm
net632,224.15µm
spi_regs_inst.mosi_sync\[1\],223.59µm
_01782_,223.08µm
raw_edge1_y\[19\],222.57µm
net631,222.42µm
net539,222.11µm
raw_edge2_x\[20\],222.01µm
_00642_,220.79µm
_03708_,220.69µm
jitter_flag_x,220.18µm
net69,219.57µm
net512,219.16µm
net124,219.11µm
phase_state_y\[0\],219.06µm
net412,218.65µm
_03347_,218.09µm
net625,217.99µm
net586,217.94µm
net495,217.58µm
cfg_phase90_offset_x\[7\],217.43µm
signal_processor_x_inst.votes_in_phase\[3\],216.82µm
net514,216.46µm
_03259_,216.32µm
cfg_phase90_offset_y\[14\],215.24µm
clknet_leaf_43_clk,214.68µm
raw_edge3_x\[17\],214.63µm
_04641_,214.58µm
raw_edge2_x\[11\],214.53µm
net618,213.61µm
net402,213.56µm
cfg_phase270_offset_x\[16\],213µm
net435,212.95µm
_04251_,212.9µm
net341,212.44µm
net436,211.83µm
latch_error_y,211.78µm
net64,211.12µm
clknet_leaf_0_clk,210.86µm
net136,210.56µm
wave_controller_x_inst.phase_acc\[12\],210.4µm
delay_wave_cycle_x\[1\],210.1µm
cfg_f_MEMS_fcw_y\[13\],209.49µm
net592,209.18µm
_03252_,208.98µm
net58,208.98µm
_03753_,208.93µm
_04647_,208.77µm
net399,208.67µm
jitter_flag_y,208.58µm
raw_edge1_y\[12\],208.47µm
raw_edge2_y\[17\],208.37µm
net171,208.37µm
net386,208.06µm
raw_edge3_x\[12\],207.86µm
net363,207.86µm
_02701_,207.76µm
_00676_,207.09µm
