net,length_um
_1343_,81.25µm
_0511_,81.2µm
_1346_,81.2µm
net379,80.74µm
net37,80.69µm
cfg_phase270_offset[7],80.355µm
net51,80.13µm
net382,80.13µm
net548,79.11µm
_1335_,79.06µm
net648,79.06µm
_1342_,79.01µm
_1410_,79.01µm
net18,78.96µm
cfg_phase90_offset[14],78.725µm
net258,78.55µm
net329,78.55µm
_0969_,78.5µm
_1279_,78.5µm
net375,78.5µm
_0008_,78.45µm
net546,78.45µm
net645,78.4µm
net310,78.04µm
net368,77.99µm
net406,77.94µm
net531,77.94µm
net267,77.89µm
net615,77.84µm
net616,77.38µm
net508,76.87µm
phase_acc\[20\],76.77µm
net342,76.77µm
net612,76.31µm
net202,76.26µm
_1340_,76.21µm
_1411_,76.21µm
cfg_phase90_offset[11],75.875µm
net462,75.7µm
_0506_,75.19µm
_1473_,75.14µm
_1344_,75.04µm
net113,75.04µm
_0570_,74.68µm
net249,74.58µm
net473,74.48µm
_0657_,74.02µm
net248,74.02µm
net274,74.02µm
net337,74.02µm
net572,74.02µm
net241,73.36µm
net336,72.95µm
net86,72.85µm
_0234_,72.8µm
net428,72.44µm
net277,72.29µm
net79,72.24µm
wave_cycle_cnt\[2\],71.88µm
_0274_,71.78µm
cfg_phase270_offset[12],71.395µm
_1324_,71.37µm
_0735_,71.32µm
net627,71.27µm
net327,71.22µm
net628,71.22µm
net234,71.17µm
cfg_phase0_offset[17],70.885µm
phase_acc\[12\],70.66µm
_0873_,70.61µm
_0699_,70.56µm
net155,70.3µm
_1313_,70.1µm
net230,70.1µm
net122,70.05µm
cfg_phase90_offset[0],69.715µm
_1603_,69.64µm
_1336_,69.59µm
net344,69.54µm
net112,69.44µm
cfg_phase90_offset[5],69.255µm
net57,68.88µm
cfg_phase0_offset[13],68.595µm
cfg_phase0_offset[7],68.595µm
_0648_,68.42µm
_0405_,68.37µm
net199,68.37µm
net255,68.37µm
_0273_,68.32µm
_0374_,67.91µm
_1474_,67.91µm
net585,67.86µm
net590,67.86µm
net593,67.81µm
_1506_,67.76µm
cfg_phase0_offset[11],67.475µm
cfg_phase0_offset[9],67.475µm
cfg_phase270_offset[6],67.475µm
_0494_,67.35µm
net253,67.35µm
net633,67.35µm
net260,67.3µm
net376,67.3µm
net280,67.25µm
net316,67.25µm
net149,67.2µm
net595,66.74µm
net338,66.69µm
net106,66.64µm
net554,66.18µm
_0819_,66.13µm
net265,66.13µm
_1692_,66.08µm
net654,65.67µm
_1671_,65.62µm
net257,65.62µm
net356,65.62µm
net111,65.01µm
net238,64.6µm
net184,64.55µm
_0279_,64.5µm
_1360_,64.5µm
_1456_,64.5µm
net187,64.5µm
net370,64.5µm
_0650_,64.4µm
phase_acc\[19\],64.4µm
cfg_phase270_offset[19],64.165µm
_0740_,63.99µm
capture_pending,63.89µm
net315,63.53µm
net380,63.38µm
net607,63.33µm
net614,63.33µm
net293,63.28µm
cfg_phase0_offset[2],62.995µm
net247,62.92µm
net96,62.82µm
net147,62.77µm
net78,62.77µm
net622,62.77µm
cfg_phase0_offset[1],62.435µm
cfg_phase90_offset[2],62.435µm
net415,62.31µm
_1326_,62.21µm
net150,62.16µm
net20,62.16µm
cfg_phase0_offset[8],61.875µm
net371,61.8µm
net61,61.7µm
net439,61.65µm
_0516_,61.6µm
cfg_phase90_offset[6],61.545µm
cfg_phase0_offset[12],61.315µm
comp,61.315µm
net128,61.09µm
net76,61.04µm
wave_cycle_cnt\[7\],60.78µm
net383,60.68µm
net330,60.63µm
_0324_,60.58µm
net443,60.58µm
_1306_,60.53µm
net433,60.53µm
_0576_,60.48µm
cfg_phase0_offset[4],60.295µm
net239,60.07µm
net312,60.07µm
net521,60.07µm
net431,59.97µm
_1494_,59.92µm
cal_phase270_offset[12],59.745µm
cfg_phase270_offset[9],59.685µm
latch_error,59.635µm
_1495_,59.61µm
net237,59.46µm
_1331_,59.36µm
cal_phase270_offset[10],59.125µm
cal_phase270_offset[11],59.075µm
cal_phase270_offset[18],59.075µm
net559,58.9µm
_1289_,58.8µm
cal_phase270_offset[13],58.565µm
cal_phase270_offset[20],58.565µm
net270,58.44µm
_0272_,58.34µm
_0810_,58.34µm
net324,58.34µm
_0282_,58.29µm
net162,58.29µm
net397,58.29µm
net314,58.24µm
cal_phase270_offset[15],58.005µm
cal_phase270_offset[17],58.005µm
cal_phase270_offset[14],57.955µm
cal_phase270_offset[16],57.955µm
cal_phase270_offset[8],57.955µm
raw_edge1[0],57.955µm
_0509_,57.88µm
net227,57.83µm
net458,57.83µm
net525,57.78µm
_0240_,57.73µm
_0567_,57.73µm
cfg_phase270_offset[16],57.445µm
_0257_,57.27µm
_1315_,57.22µm
_0232_,57.17µm
_1609_,57.17µm
_1659_,57.17µm
net396,57.17µm
raw_edge1[11],56.935µm
cfg_phase90_offset[8],56.835µm
cal_phase270_offset[19],56.835µm
raw_edge1[1],56.835µm
net350,56.71µm
_0756_,56.66µm
net146,56.66µm
net32,56.66µm
net54,56.66µm
_1194_,56.61µm
_1606_,56.61µm
net98,56.56µm
net373,56.56µm
cfg_phase90_offset[16],56.325µm
cfg_phase0_offset[10],56.275µm
_1485_,56.1µm
net358,56.1µm
net594,56.1µm
net75,56µm
net74,55.64µm
_0237_,55.54µm
_0748_,55.54µm
net597,55.54µm
_1658_,55.49µm
net311,55.49µm
_1622_,55.44µm
net125,55.44µm
net353,55.44µm
net571,55.44µm
cfg_f_MEMS_fcw[7],55.155µm
cfg_phase90_offset[19],55.155µm
cal_phase270_offset[5],55.155µm
cal_phase270_offset[6],55.155µm
net246,55.08µm
net638,54.98µm
_1356_,54.93µm
_1361_,54.93µm
net589,54.93µm
_0382_,54.88µm
delay_wave_cycle[1],54.645µm
cfg_phase270_offset[10],54.595µm
cfg_phase270_offset[2],54.595µm
cal_phase270_offset[9],54.595µm
_1317_,54.42µm
net399,54.42µm
cfg_phase270_offset[18],54.035µm
cal_phase270_offset[0],54.035µm
cal_phase90_offset[14],54.035µm
raw_edge3[14],54.035µm
_0507_,53.91µm
_1450_,53.81µm
net250,53.81µm
cal_phase270_offset[7],53.525µm
_0328_,53.48µm
cal_phase270_offset[1],53.475µm
_0703_,53.35µm
_0217_,53.3µm
_1359_,53.3µm
net251,53.3µm
net322,53.3µm
net422,53.3µm
net558,53.3µm
_0836_,53.25µm
_1389_,53.25µm
_1484_,53.25µm
net386,53.25µm
net416,53.2µm
cfg_phase0_offset[14],52.915µm
cal_phase0_offset[16],52.915µm
cal_phase270_offset[2],52.915µm
raw_edge1[15],52.915µm
net604,52.79µm
net245,52.74µm
net631,52.74µm
_0230_,52.69µm
net55,52.64µm
net457,52.64µm
cal_phase0_offset[17],52.355µm
cal_phase270_offset[4],52.355µm
raw_edge1[4],52.355µm
net449,52.33µm
net459,52.23µm
_0168_,52.08µm
net56,52.08µm
net283,52.08µm
cfg_phase90_offset[3],51.845µm
cal_phase90_offset[20],51.845µm
cfg_phase270_offset[4],51.795µm
cfg_phase90_offset[13],51.795µm
cfg_phase90_offset[9],51.795µm
cal_phase0_offset[20],51.795µm
cal_phase270_offset[3],51.795µm
net232,51.67µm
net325,51.62µm
_0637_,51.57µm
net236,51.57µm
net256,51.57µm
net381,51.57µm
_0587_,51.52µm
cal_phase90_offset[0],51.235µm
cal_phase90_offset[3],51.235µm
_0229_,51.16µm
net309,51.11µm
net388,51.11µm
raw_edge1[9],50.725µm
cfg_phase270_offset[15],50.675µm
cal_phase90_offset[1],50.675µm
cal_phase90_offset[4],50.675µm
raw_edge1[3],50.675µm
_1365_,50.5µm
_0522_,50.4µm
_1490_,50.4µm
cal_phase0_offset[19],50.165µm
cfg_f_MEMS_fcw[1],50.115µm
cal_phase0_offset[11],50.115µm
cal_phase0_offset[15],50.115µm
cal_phase90_offset[19],50.115µm
cal_phase90_offset[2],50.115µm
delay_wave_cycle[5],50.115µm
net557,49.99µm
_1507_,49.94µm
net613,49.94µm
net580,49.89µm
cfg_phase270_offset[14],49.555µm
cal_phase0_offset[12],49.555µm
cal_phase90_offset[10],49.555µm
cal_phase90_offset[16],49.555µm
cal_phase90_offset[17],49.555µm
raw_edge3[9],49.555µm
net357,49.43µm
_1482_,49.33µm
net240,49.33µm
cal_phase90_offset[11],49.045µm
cal_phase0_offset[18],48.995µm
cal_phase90_offset[13],48.995µm
cal_phase90_offset[15],48.995µm
cal_phase90_offset[18],48.995µm
cal_phase90_offset[5],48.995µm
cal_phase90_offset[7],48.995µm
cal_phase90_offset[9],48.995µm
net621,48.92µm
net445,48.82µm
cfg_phase0_offset[3],48.435µm
cfg_phase90_offset[1],48.435µm
cal_phase0_offset[4],48.435µm
cal_phase0_offset[6],48.435µm
cal_phase90_offset[8],48.435µm
delay_wave_cycle[0],48.435µm
delay_wave_cycle[2],48.435µm
_0241_,48.26µm
net261,48.26µm
_0714_,48.21µm
net259,48.21µm
_0769_,48.16µm
net218,48.16µm
cfg_phase270_offset[0],47.925µm
cal_phase0_offset[5],47.925µm
cfg_phase0_offset[0],47.875µm
cfg_phase0_offset[5],47.875µm
cfg_phase90_offset[15],47.875µm
cal_phase0_offset[10],47.875µm
cal_phase0_offset[14],47.875µm
cal_phase90_offset[12],47.875µm
raw_edge2[0],47.875µm
net275,47.85µm
_0580_,47.7µm
_1260_,47.7µm
net564,47.65µm
cal_phase0_offset[9],47.365µm
cfg_phase270_offset[1],47.315µm
cfg_phase270_offset[5],47.315µm
_0404_,47.14µm
net77,47.14µm
net592,47.14µm
_0223_,47.09µm
_0253_,47.09µm
_1354_,47.09µm
_1358_,47.09µm
net377,47.09µm
net611,47.09µm
_0967_,47.04µm
cfg_phase0_offset[6],46.755µm
cal_phase0_offset[13],46.755µm
cal_phase0_offset[2],46.755µm
cal_phase90_offset[6],46.755µm
delay_wave_cycle[4],46.755µm
raw_edge3[15],46.755µm
_0220_,46.53µm
net244,46.53µm
_0560_,46.48µm
_1624_,46.48µm
cfg_phase90_offset[12],46.195µm
cfg_phase90_offset[7],46.195µm
raw_edge3[10],46.195µm
wave_cycle_cnt\[4\],46.12µm
net313,46.12µm
net579,46.07µm
_0753_,45.97µm
net467,45.92µm
cal_phase0_offset[7],45.635µm
cal_phase0_offset[8],45.635µm
raw_edge1[8],45.635µm
raw_edge3[12],45.635µm
raw_edge3[18],45.635µm
raw_edge3[6],45.635µm
raw_edge3[8],45.635µm
_0238_,45.41µm
_0763_,45.41µm
net474,45.41µm
phase_acc\[11\],45.36µm
_1666_,45.23µm
cfg_phase0_offset[18],45.125µm
cfg_phase90_offset[18],45.125µm
cal_phase0_offset[3],45.075µm
raw_edge3[17],45.075µm
net355,44.9µm
_0216_,44.85µm
_1598_,44.85µm
net30,44.85µm
net661,44.85µm
_0565_,44.8µm
cal_phase0_offset[1],44.515µm
raw_edge3[11],44.515µm
raw_edge3[16],44.515µm
raw_edge3[19],44.515µm
raw_edge3[20],44.515µm
raw_edge3[7],44.515µm
_1276_,44.29µm
_0442_,44.24µm
_1288_,44.24µm
net606,44.24µm
raw_edge3[13],44.005µm
cfg_phase0_offset[16],43.955µm
cfg_phase270_offset[3],43.955µm
raw_edge1[10],43.955µm
raw_edge1[12],43.955µm
_0741_,43.83µm
_1483_,43.78µm
net427,43.73µm
net130,43.68µm
phase_acc\[18\],43.68µm
net603,43.68µm
delay_wave_cycle[3],43.395µm
raw_edge3[4],43.395µm
net637,43.27µm
_0640_,43.22µm
_0724_,43.22µm
_1476_,43.17µm
net203,43.17µm
cfg_phase0_offset[20],42.835µm
cfg_phase90_offset[10],42.835µm
cal_dir,42.835µm
cal_phase0_offset[0],42.835µm
_0251_,42.61µm
_0589_,42.61µm
_1605_,42.56µm
raw_edge1[7],42.325µm
raw_edge1[13],42.275µm
raw_edge3[5],42.275µm
wave_cycle_cnt\[6\],42.25µm
net340,42.1µm
net420,42.05µm
net577,42.05µm
_0553_,42µm
net119,42µm
cfg_phase270_offset[20],41.715µm
net407,41.64µm
net440,41.59µm
net447,41.59µm
_0736_,41.49µm
_1430_,41.49µm
net120,41.49µm
raw_edge1[14],41.155µm
raw_edge1[16],41.155µm
raw_edge1[18],41.155µm
net390,41.08µm
net461,41.03µm
_1613_,40.98µm
net591,40.98µm
net552,40.93µm
net452,40.88µm
_1299_,40.47µm
_0981_,40.42µm
_0226_,40.37µm
_1614_,40.37µm
_1648_,40.32µm
delay_wave_cycle[7],40.035µm
net53,39.91µm
net454,39.86µm
_0235_,39.81µm
_1062_,39.81µm
net129,39.81µm
net434,39.81µm
cfg_phase270_offset[8],39.525µm
raw_edge3[1],39.475µm
raw_edge3[2],39.475µm
_0842_,39.35µm
net367,39.3µm
net609,39.3µm
net299,39.25µm
raw_edge1[19],38.915µm
raw_edge1[20],38.915µm
net537,38.79µm
_1046_,38.74µm
net411,38.74µm
_0484_,38.69µm
_0868_,38.69µm
_1602_,38.69µm
net426,38.69µm
cfg_phase0_offset[19],38.355µm
raw_edge3[0],38.355µm
net254,38.28µm
_0214_,38.24µm
net252,38.23µm
net573,38.23µm
net553,38.18µm
_0335_,38.13µm
_0373_,38.13µm
net469,38.13µm
net568,38.13µm
raw_edge2[2],37.845µm
raw_edge1[2],37.795µm
_0248_,37.67µm
net279,37.67µm
net318,37.62µm
net563,37.62µm
_0236_,37.57µm
_1330_,37.57µm
_1377_,37.57µm
_0630_,37.52µm
_1025_,37.52µm
phase_acc\[17\],37.52µm
net282,37.52µm
delay_wave_cycle[6],37.235µm
raw_edge3[3],37.235µm
_1369_,37.21µm
net412,37.06µm
net414,37.06µm
net567,37.06µm
_0265_,37.01µm
_1550_,37.01µm
net305,37.01µm
raw_edge1[17],36.675µm
raw_edge1[5],36.675µm
raw_edge2[1],36.675µm
raw_edge2[8],36.675µm
_0634_,36.5µm
net418,36.5µm
_0642_,36.45µm
_0929_,36.45µm
_1661_,36.4µm
net306,36.4µm
cfg_phase90_offset[4],36.215µm
net556,35.99µm
net300,35.94µm
net352,35.94µm
_0310_,35.89µm
_1751_,35.89µm
_0309_,35.84µm
_0636_,35.84µm
net123,35.84µm
phase_acc\[7\],35.84µm
net608,35.84µm
raw_edge2[3],35.555µm
_0211_,35.38µm
_1601_,35.38µm
net10,35.38µm
_0363_,35.33µm
_0739_,35.33µm
_1225_,35.33µm
_1625_,35.33µm
raw_edge1[6],34.995µm
raw_edge2[7],34.995µm
phase_acc\[3\],34.92µm
_1708_,34.87µm
net304,34.87µm
_0357_,34.82µm
_1632_,34.82µm
_1687_,34.82µm
_1007_,34.77µm
_1416_,34.77µm
_0262_,34.72µm
_0812_,34.72µm
_0965_,34.72µm
_1712_,34.72µm
net273,34.26µm
_0225_,34.21µm
_1682_,34.21µm
_1778_,34.21µm
net402,34.21µm
net455,34.21µm
net575,34.21µm
net584,34.21µm
net107,34.16µm
net570,33.93µm
_0563_,33.75µm
_1372_,33.7µm
net417,33.7µm
_0858_,33.65µm
_1700_,33.65µm
net605,33.65µm
_0831_,33.6µm
raw_edge2[19],33.315µm
_0904_,33.09µm
_0970_,33.09µm
_1459_,33.09µm
net91,33.09µm
net430,33.09µm
raw_edge2[20],32.755µm
raw_edge2[4],32.755µm
_0204_,32.63µm
_0726_,32.63µm
_0147_,32.58µm
_0539_,32.58µm
_1246_,32.58µm
_0304_,32.53µm
_0316_,32.53µm
_0785_,32.53µm
net58,32.53µm
_0728_,32.48µm
net413,32.48µm
_1370_,32.02µm
net394,32.02µm
_0544_,31.97µm
_0848_,31.97µm
_1753_,31.97µm
net5,31.97µm
_1600_,31.92µm
_1608_,31.92µm
net103,31.92µm
net121,31.92µm
_1164_,31.46µm
_1776_,31.46µm
_1789_,31.46µm
_0463_,31.41µm
_1030_,31.41µm
_1448_,31.41µm
net450,31.41µm
net581,31.41µm
_0520_,31.36µm
_0713_,31.36µm
_1596_,31.36µm
cfg_f_MEMS_fcw[3],31.075µm
raw_edge2[6],31.075µm
_0527_,30.9µm
_0529_,30.9µm
_0793_,30.85µm
_1065_,30.85µm
_1599_,30.85µm
_1654_,30.85µm
_1703_,30.85µm
_0259_,30.8µm
_0654_,30.8µm
_0945_,30.8µm
net281,30.8µm
raw_edge2[18],30.515µm
raw_edge2[5],30.515µm
raw_edge2[9],30.515µm
_0536_,30.34µm
_0771_,30.34µm
_1468_,30.34µm
net156,30.34µm
net442,30.34µm
net569,30.34µm
_0508_,30.29µm
_0558_,30.29µm
_0870_,30.29µm
_1400_,30.29µm
_0247_,30.24µm
_0393_,30.24µm
_0662_,30.24µm
_1462_,30.24µm
_0972_,29.83µm
_1565_,29.83µm
net578,29.78µm
_0653_,29.73µm
_0955_,29.73µm
_1417_,29.73µm
net598,29.73µm
_1040_,29.43µm
cfg_f_MEMS_fcw[11],29.395µm
raw_edge2[17],29.395µm
_0533_,29.27µm
net36,29.27µm
_0599_,29.22µm
_0691_,29.22µm
net363,29.22µm
net387,29.22µm
_0197_,29.17µm
comp_sync3,29.17µm
net471,29.17µm
net587,29.17µm
net602,29.17µm
_0513_,29.12µm
_1585_,29.12µm
_1607_,29.12µm
_1620_,29.12µm
phase_acc\[14\],29.12µm
net526,28.71µm
_0169_,28.66µm
_1486_,28.66µm
net610,28.66µm
_0646_,28.61µm
_0722_,28.61µm
net398,28.56µm
raw_edge2[11],28.275µm
_0476_,28.1µm
_0988_,28.1µm
_0991_,28.1µm
_1611_,28.1µm
_0329_,28.05µm
_0414_,28.05µm
_1023_,28.05µm
_1580_,28.05µm
net90,28.05µm
net385,28.05µm
_0541_,28µm
_1546_,28µm
_1668_,28µm
net291,28µm
raw_edge2[10],27.715µm
_0386_,27.54µm
_0860_,27.54µm
_1338_,27.54µm
_1748_,27.54µm
_0305_,27.49µm
_0733_,27.49µm
_0864_,27.49µm
_1074_,27.49µm
_1362_,27.49µm
_1541_,27.49µm
comp_sync4,27.49µm
_0370_,27.44µm
_0639_,27.44µm
_0707_,27.44µm
_0729_,27.44µm
net110,27.44µm
_1159_,27.16µm
cfg_f_MEMS_fcw[12],27.155µm
cfg_phase270_offset[13],27.155µm
raw_edge2[16],27.155µm
_1479_,27.03µm
cal_burst_armed,27.03µm
_0433_,26.98µm
_0005_,26.93µm
_0470_,26.93µm
net92,26.93µm
_1205_,26.88µm
_1237_,26.88µm
cfg_f_MEMS_fcw[9],26.595µm
net389,26.47µm
_0350_,26.42µm
_0411_,26.42µm
_0659_,26.42µm
_1783_,26.42µm
net301,26.42µm
net639,26.42µm
_0643_,26.37µm
_0720_,26.37µm
_0935_,26.37µm
net596,26.37µm
net599,26.37µm
_0266_,26.32µm
_1414_,26.32µm
raw_edge2[12],26.035µm
_0454_,25.91µm
net354,25.91µm
_0161_,25.86µm
_0410_,25.86µm
_0974_,25.86µm
_1772_,25.86µm
_0007_,25.81µm
_0649_,25.81µm
_1302_,25.81µm
