net,length_um
spi_regs_inst/net490,243.8µm
wave_controller_y_inst/net568,243.14µm
wave_controller_x_inst/_0492_,242.58µm
latch_error_y,242.07µm
cfg_phase0_offset_y\[13\],242.02µm
spi_regs_inst/net91,241.92µm
spi_regs_inst/_0565_,241.46µm
signal_processor_x_inst/net200,241.33µm
cfg_f_MEMS_fcw_y\[3\],240.39µm
raw_edge1_y\[13\],239.93µm
spi_regs_inst/reg_wr_data\[0\],239.9µm
cfg_phase270_offset_x\[15\],239.88µm
spi_regs_inst/_0271_,239.88µm
spi_regs_inst/net92,239.1µm
cfg_phase270_offset_x\[2\],238.76µm
wave_controller_x_inst/phase_acc\[12\],238.66µm
cfg_phase0_offset_y\[10\],238.15µm
raw_edge2_x\[15\],238.15µm
cfg_phase270_offset_x\[20\],238.1µm
wave_controller_x_inst/net68,238.05µm
raw_edge1_y\[18\],237.84µm
spi_regs_inst/net473,237.64µm
clknet_leaf_13_clk,237.18µm
raw_edge1_x\[19\],237.13µm
cal_dir_y,237.03µm
wave_controller_y_inst/_1235_,236.47µm
spi_regs_inst/net90,236.47µm
wave_controller_x_inst/net72,236.06µm
wave_controller_x_inst/net626,235.5µm
wave_controller_x_inst/net73,235.35µm
phase_state_y\[1\],235.3µm
votes_out_phase_y\[0\],235.3µm
raw_edge1_x\[16\],234.94µm
wave_controller_x_inst/net66,233.82µm
raw_edge2_y\[19\],233.77µm
latch_error_x,233.62µm
cfg_phase0_offset_y\[8\],233.58µm
cfg_f_MEMS_fcw_y\[12\],233.27µm
cfg_phase0_offset_y\[0\],233.06µm
wave_controller_x_inst/net369,233.06µm
net590,232.5µm
net461,231.99µm
wave_controller_y_inst/net391,231.53µm
wave_controller_y_inst/net549,231.48µm
wave_controller_x_inst/net603,231.48µm
spi_regs_inst/_0719_,230.92µm
spi_regs_inst/net479,230.41µm
cfg_phase0_offset_x\[17\],230.36µm
wave_controller_x_inst/_1246_,229.9µm
wave_controller_x_inst/net436,229.9µm
clknet_leaf_47_clk,229.85µm
spi_regs_inst/net185,229.8µm
spi_regs_inst/_0642_,229.44µm
wave_controller_y_inst/net141,229.24µm
raw_edge3_x\[13\],229.19µm
raw_edge1_y\[6\],229.14µm
spi_regs_inst/net77,229.04µm
net536,228.73µm
raw_edge1_x\[13\],228.68µm
wave_controller_x_inst/net64,228.07µm
cfg_phase90_offset_x\[18\],228.02µm
raw_edge1_y\[2\],228.02µm
raw_edge1_y\[0\],227.56µm
raw_edge1_y\[11\],227.56µm
cfg_phase0_offset_y\[2\],226.85µm
cal_phase90_offset_y\[11\],226.29µm
net507,225.98µm
spi_regs_inst/_0699_,225.83µm
wave_controller_x_inst/net71,225.12µm
spi_regs_inst/_0665_,224.66µm
spi_regs_inst/reg_wr_data\[1\],224.61µm
wave_controller_x_inst/net625,223.69µm
cfg_phase90_offset_y\[0\],223.49µm
wave_controller_x_inst/net75,223.03µm
cal_phase270_offset_y\[15\],222.32µm
wave_controller_x_inst/_0722_,221.86µm
cfg_phase270_offset_y\[20\],221.3µm
spi_regs_inst/net38,221.25µm
wave_controller_y_inst/_1232_,220.94µm
net535,220.84µm
net580,220.84µm
raw_edge2_x\[14\],220.43µm
spi_regs_inst/net484,220.28µm
spi_regs_inst/net344,219.87µm
spi_regs_inst/net167,219.06µm
clknet_leaf_50_clk,218.65µm
clknet_leaf_42_clk,218.29µm
clknet_leaf_49_clk,217.99µm
cfg_phase0_offset_x\[4\],217.58µm
net566,217.43µm
wave_controller_x_inst/net63,216.97µm
wave_controller_y_inst/phase_acc\[18\],216.82µm
spi_regs_inst/_0563_,216.53µm
cfg_phase270_offset_x\[8\],216.21µm
net540,215.34µm
state_o\[0\],215.19µm
cal_phase90_offset_x\[9\],215.09µm
spi_regs_inst/net148,214.73µm
cfg_phase270_offset_y\[12\],214.68µm
net528,214.68µm
cfg_phase90_offset_y\[1\],214.63µm
wave_controller_x_inst/net381,214.63µm
net619,214.63µm
spi_regs_inst/net20,214.58µm
spi_regs_inst/net76,214.58µm
spi_regs_inst/net19,214.53µm
wave_controller_x_inst/_1277_,214.22µm
raw_edge2_x\[19\],214.07µm
wave_controller_x_inst/net163,213.61µm
raw_edge3_x\[17\],213.56µm
raw_edge3_y\[7\],213.51µm
spi_regs_inst/net39,213.41µm
wave_controller_y_inst/phase_acc\[17\],213.23µm
spi_regs_inst/net30,213.01µm
spi_regs_inst/net27,212.95µm
net521,212.59µm
spi_regs_inst/net29,212.39µm
analog[1],212.15µm
cfg_phase90_offset_x\[5\],211.98µm
wave_controller_x_inst/net401,211.42µm
cfg_f_MEMS_fcw_x\[0\],211.17µm
spi_regs_inst/_0297_,211.04µm
spi_regs_inst/net103,210.84µm
wave_controller_y_inst/net417,210.81µm
wave_controller_x_inst/_1350_,210.71µm
wave_controller_y_inst/net422,210.35µm
raw_edge1_x\[14\],210.25µm
wave_controller_y_inst/net368,210.2µm
cal_phase270_offset_x\[7\],210.05µm
raw_edge1_y\[9\],209.92µm
wave_controller_y_inst/net362,209.74µm
clknet_leaf_31_clk,209.69µm
cal_phase90_offset_x\[11\],209.49µm
spi_regs_inst/net18,209.49µm
raw_edge3_y\[8\],209.13µm
spi_regs_inst/_0718_,209.03µm
spi_regs_inst/net189,208.98µm
clknet_leaf_53_clk,208.06µm
wave_controller_y_inst/net416,208.01µm
raw_edge3_y\[11\],207.96µm
spi_regs_inst/net101,207.96µm
wave_controller_y_inst/phase_acc\[10\],207.91µm
net393,207.5µm
net400,207.45µm
wave_controller_x_inst/capture_pending,207.35µm
wave_controller_x_inst/phase_acc\[17\],206.89µm
cal_phase90_offset_y\[15\],206.23µm
spi_regs_inst/_0361_,205.9µm
spi_regs_inst/net193,205.67µm
wave_controller_x_inst/phase_acc\[11\],205.57µm
raw_edge2_x\[9\],205.26µm
spi_regs_inst/net496,205.16µm
cfg_phase90_offset_x\[17\],204.55µm
wave_controller_y_inst/net367,204.47µm
cfg_phase90_offset_x\[16\],204.04µm
net598,203.99µm
spi_regs_inst/net88,203.94µm
raw_edge2_y\[8\],203.89µm
wave_controller_x_inst/_1241_,203.89µm
raw_edge3_x\[19\],203.84µm
wave_controller_x_inst/net382,203.48µm
wave_controller_y_inst/net617,203.38µm
spi_regs_inst/net37,203.33µm
raw_edge1_x\[17\],202.92µm
net575,202.82µm
wave_controller_x_inst/net623,202.36µm
spi_regs_inst/_0272_,202.16µm
net539,201.85µm
votes_out_phase_x\[3\],201.75µm
cfg_phase0_offset_x\[20\],201.7µm
wave_controller_x_inst/net439,201.65µm
spi_regs_inst/net112,201.38µm
raw_edge1_x\[0\],201.19µm
spi_regs_inst/net102,201.19µm
raw_edge3_y\[5\],201.09µm
clknet_leaf_25_clk,200.68µm
wave_controller_y_inst/_1227_,200.63µm
cal_phase90_offset_x\[14\],200.07µm
wave_controller_x_inst/_1242_,200.07µm
cfg_phase270_offset_y\[7\],200.02µm
wave_controller_x_inst/net604,199.89µm
clknet_leaf_2_clk,199.56µm
cfg_phase90_offset_x\[6\],199.46µm
jitter_flag_x,199.46µm
spi_regs_inst/net104,199.41µm
spi_regs_inst/net107,199.01µm
wave_controller_y_inst/_1241_,198.95µm
wave_controller_y_inst/net99,198.8µm
net593,198.8µm
cfg_phase0_offset_x\[2\],198.34µm
cfg_f_MEMS_fcw_x\[3\],197.83µm
wave_controller_y_inst/_1086_,197.83µm
spi_regs_inst/_0484_,197.78µm
clknet_leaf_21_clk,197.32µm
wave_controller_y_inst/net89,197.27µm
wave_controller_x_inst/net449,196.86µm
wave_controller_y_inst/net138,196.2µm
wave_controller_y_inst/net506,196.1µm
spi_regs_inst/net106,195.44µm
spi_regs_inst/net132,195.44µm
clknet_leaf_28_clk,195.38µm
wave_controller_y_inst/net177,195.13µm
wave_controller_y_inst/net408,195.13µm
wave_controller_y_inst/net518,194.67µm
wave_controller_y_inst/net421,194.57µm
raw_edge3_x\[16\],194.42µm
wave_controller_y_inst/net428,194.16µm
raw_edge3_x\[3\],193.96µm
spi_regs_inst/net86,193.86µm
cfg_phase270_offset_x\[16\],193.45µm
wave_controller_x_inst/net383,193.4µm
net544,193.4µm
clknet_leaf_16_clk,193.4µm
spi_regs_inst/_0566_,193.3µm
wave_controller_y_inst/_1312_,192.79µm
cal_phase90_offset_x\[5\],192.74µm
wave_controller_x_inst/net531,192.46µm
wave_controller_y_inst/net577,191.87µm
wave_controller_x_inst/_1086_,191.82µm
cfg_phase90_offset_y\[16\],191.77µm
cal_phase90_offset_x\[16\],191.62µm
spi_regs_inst/net134,191.62µm
wave_controller_y_inst/net143,191.57µm
net555,191.16µm
cfg_phase270_offset_y\[4\],191.01µm
spi_regs_inst/net81,190.96µm
wave_controller_y_inst/_1242_,190.24µm
clknet_leaf_22_clk,190.09µm
cfg_f_MEMS_fcw_y\[8\],189.94µm
wave_controller_x_inst/net444,189.38µm
raw_edge2_x\[6\],189.02µm
wave_controller_y_inst/net520,189.02µm
wave_controller_x_inst/_1238_,188.82µm
spi_regs_inst/net611,188.31µm
net592,187.95µm
cfg_phase0_offset_y\[7\],187.75µm
cal_phase0_offset_y\[9\],187.7µm
spi_regs_inst/net28,187.7µm
cal_phase270_offset_y\[16\],187.6µm
spi_regs_inst/_0667_,187.34µm
wave_controller_y_inst/net322,187.34µm
clknet_leaf_33_clk,187.29µm
cfg_phase270_offset_y\[8\],187.24µm
spi_regs_inst/net105,187.09µm
clknet_leaf_38_clk,186.78µm
wave_controller_y_inst/net351,186.73µm
